Hospital,Area_pop,Distancia
H1,AP1,19.85
H1,AP2,76.66
H1,AP3,34.53
H1,AP4,78.55
H1,AP5,35.69
H1,AP6,3.0
H1,AP7,36.8
H1,AP8,25.81
H1,AP9,25.02
H1,AP10,8.25
H1,AP11,49.4
H1,AP12,93.3
H1,AP13,63.53
H1,AP14,30.08
H1,AP15,40.2
H1,AP16,78.19
H1,AP17,33.11
H1,AP18,72.73
H1,AP19,68.12
H1,AP20,88.28
H1,AP21,95.34
H1,AP22,98.11
H1,AP23,51.09
H1,AP24,92.11
H1,AP25,92.01
H2,AP1,51.16
H2,AP2,13.45
H2,AP3,34.48
H2,AP4,20.12
H2,AP5,34.13
H2,AP6,64.5
H2,AP7,51.62
H2,AP8,50.25
H2,AP9,40.8
H2,AP10,66.07
H2,AP11,49.04
H2,AP12,40.31
H2,AP13,20.62
H2,AP14,55.66
H2,AP15,25.0
H2,AP16,19.24
H2,AP17,42.2
H2,AP18,13.0
H2,AP19,15.52
H2,AP20,24.33
H2,AP21,31.3
H2,AP22,43.42
H2,AP23,33.3
H2,AP24,40.5
H2,AP25,45.89
H3,AP1,54.23
H3,AP2,60.21
H3,AP3,71.0
H3,AP4,53.08
H3,AP5,72.01
H3,AP6,70.71
H3,AP7,90.27
H3,AP8,81.05
H3,AP9,66.61
H3,AP10,67.42
H3,AP11,24.35
H3,AP12,49.04
H3,AP13,41.34
H3,AP14,43.57
H3,AP15,61.29
H3,AP16,53.76
H3,AP17,79.1
H3,AP18,54.67
H3,AP19,76.92
H3,AP20,79.25
H3,AP21,70.46
H3,AP22,53.45
H3,AP23,32.39
H3,AP24,46.82
H3,AP25,40.02
H4,AP1,46.32
H4,AP2,64.03
H4,AP3,66.75
H4,AP4,57.98
H4,AP5,67.9
H4,AP6,61.85
H4,AP7,85.05
H4,AP8,75.06
H4,AP9,61.01
H4,AP10,58.14
H4,AP11,18.11
H4,AP12,57.27
H4,AP13,43.86
H4,AP14,34.54
H4,AP15,58.24
H4,AP16,58.52
H4,AP17,74.24
H4,AP18,58.26
H4,AP19,77.67
H4,AP20,83.1
H4,AP21,76.48
H4,AP22,61.98
H4,AP23,30.89
H4,AP24,55.11
H4,AP25,49.16
H5,AP1,80.13
H5,AP2,35.17
H5,AP3,77.47
H5,AP4,26.93
H5,AP5,77.62
H5,AP6,97.42
H5,AP7,96.83
H5,AP8,92.76
H5,AP9,79.93
H5,AP10,96.65
H5,AP11,58.25
H5,AP12,6.71
H5,AP13,36.12
H5,AP14,76.55
H5,AP15,65.95
H5,AP16,27.86
H5,AP17,86.21
H5,AP18,34.01
H5,AP19,59.91
H5,AP20,47.27
H5,AP21,30.36
H5,AP22,5.39
H5,AP23,48.75
H5,AP24,7.07
H5,AP25,10.2
H6,AP1,66.71
H6,AP2,22.0
H6,AP3,62.48
H6,AP4,13.04
H6,AP5,62.63
H6,AP6,83.65
H6,AP7,81.84
H6,AP8,77.83
H6,AP9,65.19
H6,AP10,83.26
H6,AP11,48.0
H6,AP12,8.49
H6,AP13,21.63
H6,AP14,64.54
H6,AP15,50.99
H6,AP16,14.04
H6,AP17,71.22
H6,AP18,19.65
H6,AP19,46.39
H6,AP20,37.7
H6,AP21,24.76
H6,AP22,13.04
H6,AP23,36.14
H6,AP24,8.06
H6,AP25,14.04
H7,AP1,44.0
H7,AP2,72.4
H7,AP3,68.31
H7,AP4,67.08
H7,AP5,69.57
H7,AP6,57.49
H7,AP7,85.16
H7,AP8,74.43
H7,AP9,61.19
H7,AP10,53.16
H7,AP11,21.4
H7,AP12,67.9
H7,AP13,51.87
H7,AP14,31.06
H7,AP15,61.27
H7,AP16,67.54
H7,AP17,74.95
H7,AP18,66.57
H7,AP19,83.63
H7,AP20,91.26
H7,AP21,86.01
H7,AP22,72.69
H7,AP23,36.77
H7,AP24,65.76
H7,AP25,60.07
H8,AP1,75.43
H8,AP2,42.05
H8,AP3,77.9
H8,AP4,33.02
H8,AP5,78.29
H8,AP6,93.09
H8,AP7,97.95
H8,AP8,92.36
H8,AP9,78.6
H8,AP10,91.61
H8,AP11,50.16
H8,AP12,16.12
H8,AP13,35.78
H8,AP14,69.84
H8,AP15,66.24
H8,AP16,34.01
H8,AP17,86.83
H8,AP18,39.12
H8,AP19,66.12
H8,AP20,57.28
H8,AP21,42.06
H8,AP22,18.38
H8,AP23,43.93
H8,AP24,14.32
H8,AP25,6.08
H9,AP1,50.92
H9,AP2,61.52
H9,AP3,69.12
H9,AP4,54.82
H9,AP5,70.18
H9,AP6,67.08
H9,AP7,88.05
H9,AP8,78.52
H9,AP9,64.2
H9,AP10,63.63
H9,AP11,21.38
H9,AP12,52.2
H9,AP13,42.01
H9,AP14,39.82
H9,AP15,59.84
H9,AP16,55.44
H9,AP17,77.0
H9,AP18,55.87
H9,AP19,77.03
H9,AP20,80.62
H9,AP21,72.72
H9,AP22,56.75
H9,AP23,31.32
H9,AP24,50.0
H9,AP25,43.57
H10,AP1,31.11
H10,AP2,47.43
H10,AP3,1.41
H10,AP4,52.35
H10,AP5,0.0
H10,AP6,36.4
H10,AP7,19.7
H10,AP8,16.12
H10,AP9,11.66
H10,AP10,39.92
H10,AP11,49.82
H10,AP12,71.06
H10,AP13,42.54
H10,AP14,42.44
H10,AP15,12.08
H10,AP16,51.66
H10,AP17,8.6
H10,AP18,45.34
H10,AP19,33.14
H10,AP20,54.82
H10,AP21,65.37
H10,AP22,75.07
H10,AP23,40.2
H10,AP24,70.6
H10,AP25,73.57
