Hospital,Tipo_de_paciente,Qtd_pacientes_liberados,Dia
H1,TP1,97,1
H1,TP2,2,1
H1,TP3,1,3
H1,TP4,59,1
H1,TP5,39,1
H1,TP6,20,1
H1,TP7,36,1
H1,TP8,9,1
H1,TP9,94,3
H1,TP10,64,1
H10,TP1,75,2
H10,TP2,22,2
H10,TP3,15,1
H10,TP4,73,2
H10,TP5,28,2
H10,TP6,64,3
H10,TP7,18,3
H10,TP8,6,2
H10,TP9,89,2
H10,TP10,18,2
H2,TP1,94,3
H2,TP2,83,2
H2,TP3,40,2
H2,TP4,57,1
H2,TP5,0,2
H2,TP6,15,1
H2,TP7,46,2
H2,TP8,10,3
H2,TP9,3,2
H2,TP10,23,2
H3,TP1,24,3
H3,TP2,97,1
H3,TP3,77,3
H3,TP4,99,3
H3,TP5,24,1
H3,TP6,87,1
H3,TP7,22,1
H3,TP8,24,2
H3,TP9,58,1
H3,TP10,14,2
H4,TP1,54,2
H4,TP2,73,2
H4,TP3,5,3
H4,TP4,44,2
H4,TP5,0,1
H4,TP6,20,1
H4,TP7,85,3
H4,TP8,88,2
H4,TP9,75,1
H4,TP10,59,1
H5,TP1,30,1
H5,TP2,43,2
H5,TP3,80,3
H5,TP4,67,3
H5,TP5,23,3
H5,TP6,97,2
H5,TP7,27,3
H5,TP8,13,2
H5,TP9,28,1
H5,TP10,83,2
H6,TP1,88,1
H6,TP2,19,1
H6,TP3,27,3
H6,TP4,42,1
H6,TP5,44,2
H6,TP6,28,3
H6,TP7,72,3
H6,TP8,42,3
H6,TP9,94,2
H6,TP10,14,1
H7,TP1,59,1
H7,TP2,49,2
H7,TP3,25,3
H7,TP4,67,3
H7,TP5,89,3
H7,TP6,97,1
H7,TP7,94,2
H7,TP8,33,1
H7,TP9,69,1
H7,TP10,0,3
H8,TP1,85,2
H8,TP2,74,1
H8,TP3,40,3
H8,TP4,12,3
H8,TP5,25,2
H8,TP6,31,2
H8,TP7,2,3
H8,TP8,10,2
H8,TP9,18,3
H8,TP10,11,2
H9,TP1,87,2
H9,TP2,45,2
H9,TP3,84,2
H9,TP4,44,2
H9,TP5,27,2
H9,TP6,95,1
H9,TP7,86,1
H9,TP8,92,2
H9,TP9,54,2
H9,TP10,66,1
