Hospital,Recurso,Qtd_recurso
H1,R1,194.0
H2,R1,187.0
H3,R1,187.0
H4,R1,188.0
H5,R1,188.0
H6,R1,183.0
H7,R1,190.0
H8,R1,189.0
H9,R1,186.0
H10,R1,186.0
H1,R10,195.0
H2,R10,194.0
H3,R10,194.0
H4,R10,186.0
H5,R10,188.0
H6,R10,188.0
H7,R10,188.0
H8,R10,191.0
H9,R10,190.0
H10,R10,190.0
H1,R11,189.0
H2,R11,195.0
H3,R11,189.0
H4,R11,185.0
H5,R11,189.0
H6,R11,194.0
H7,R11,189.0
H8,R11,187.0
H9,R11,191.0
H10,R11,195.0
H1,R12,195.0
H2,R12,186.0
H3,R12,190.0
H4,R12,195.0
H5,R12,186.0
H6,R12,196.0
H7,R12,189.0
H8,R12,192.0
H9,R12,189.0
H10,R12,192.0
H1,R2,195.0
H2,R2,188.0
H3,R2,189.0
H4,R2,194.0
H5,R2,195.0
H6,R2,188.0
H7,R2,187.0
H8,R2,190.0
H9,R2,192.0
H10,R2,191.0
H1,R3,190.0
H2,R3,188.0
H3,R3,190.0
H4,R3,188.0
H5,R3,191.0
H6,R3,188.0
H7,R3,191.0
H8,R3,190.0
H9,R3,191.0
H10,R3,185.0
H1,R4,188.0
H2,R4,189.0
H3,R4,189.0
H4,R4,192.0
H5,R4,195.0
H6,R4,189.0
H7,R4,195.0
H8,R4,187.0
H9,R4,192.0
H10,R4,188.0
H1,R5,195.0
H2,R5,186.0
H3,R5,191.0
H4,R5,197.0
H5,R5,191.0
H6,R5,185.0
H7,R5,187.0
H8,R5,191.0
H9,R5,187.0
H10,R5,181.0
H1,R6,187.0
H2,R6,186.0
H3,R6,189.0
H4,R6,192.0
H5,R6,191.0
H6,R6,190.0
H7,R6,190.0
H8,R6,187.0
H9,R6,185.0
H10,R6,191.0
H1,R7,194.0
H2,R7,191.0
H3,R7,191.0
H4,R7,200.0
H5,R7,186.0
H6,R7,189.0
H7,R7,187.0
H8,R7,191.0
H9,R7,190.0
H10,R7,194.0
H1,R8,188.0
H2,R8,192.0
H3,R8,187.0
H4,R8,191.0
H5,R8,193.0
H6,R8,194.0
H7,R8,194.0
H8,R8,191.0
H9,R8,189.0
H10,R8,192.0
H1,R9,187.0
H2,R9,184.0
H3,R9,191.0
H4,R9,187.0
H5,R9,189.0
H6,R9,191.0
H7,R9,189.0
H8,R9,188.0
H9,R9,187.0
H10,R9,193.0
