Hospital,Tipo_de_paciente,Qtd_pacientes_liberados,Dia
H1,TP1,1,2
H1,TP2,18,3
H1,TP3,1,2
H1,TP4,31,3
H1,TP5,61,2
H1,TP6,68,3
H1,TP7,57,2
H1,TP8,40,2
H1,TP9,24,1
H1,TP10,35,2
H10,TP1,69,3
H10,TP2,22,1
H10,TP3,38,2
H10,TP4,44,3
H10,TP5,57,2
H10,TP6,5,3
H10,TP7,8,3
H10,TP8,20,2
H10,TP9,66,2
H10,TP10,22,3
H11,TP1,52,3
H11,TP2,11,1
H11,TP3,17,1
H11,TP4,67,2
H11,TP5,19,2
H11,TP6,45,3
H11,TP7,54,1
H11,TP8,22,2
H11,TP9,2,1
H11,TP10,45,2
H12,TP1,48,3
H12,TP2,67,2
H12,TP3,44,2
H12,TP4,15,1
H12,TP5,69,3
H12,TP6,62,3
H12,TP7,10,3
H12,TP8,69,3
H12,TP9,47,2
H12,TP10,35,1
H13,TP1,39,2
H13,TP2,21,1
H13,TP3,57,2
H13,TP4,63,1
H13,TP5,43,2
H13,TP6,1,1
H13,TP7,65,2
H13,TP8,42,1
H13,TP9,45,3
H13,TP10,18,1
H14,TP1,52,3
H14,TP2,29,1
H14,TP3,46,1
H14,TP4,13,3
H14,TP5,36,2
H14,TP6,1,2
H14,TP7,18,1
H14,TP8,10,2
H14,TP9,38,2
H14,TP10,64,2
H15,TP1,25,3
H15,TP2,31,3
H15,TP3,17,3
H15,TP4,21,2
H15,TP5,32,1
H15,TP6,51,1
H15,TP7,61,1
H15,TP8,7,3
H15,TP9,36,1
H15,TP10,41,3
H2,TP1,23,2
H2,TP2,33,1
H2,TP3,37,3
H2,TP4,16,1
H2,TP5,2,2
H2,TP6,8,2
H2,TP7,57,3
H2,TP8,68,2
H2,TP9,65,1
H2,TP10,5,2
H3,TP1,21,1
H3,TP2,21,1
H3,TP3,8,3
H3,TP4,58,1
H3,TP5,24,2
H3,TP6,42,2
H3,TP7,51,1
H3,TP8,61,1
H3,TP9,61,3
H3,TP10,43,3
H4,TP1,41,2
H4,TP2,65,3
H4,TP3,64,2
H4,TP4,42,1
H4,TP5,45,1
H4,TP6,55,3
H4,TP7,44,3
H4,TP8,61,1
H4,TP9,42,1
H4,TP10,17,2
H5,TP1,37,3
H5,TP2,62,3
H5,TP3,36,1
H5,TP4,57,1
H5,TP5,56,2
H5,TP6,67,2
H5,TP7,10,1
H5,TP8,25,1
H5,TP9,65,3
H5,TP10,23,2
H6,TP1,17,2
H6,TP2,28,2
H6,TP3,63,3
H6,TP4,34,2
H6,TP5,17,3
H6,TP6,52,2
H6,TP7,45,1
H6,TP8,12,3
H6,TP9,45,2
H6,TP10,56,2
H7,TP1,21,3
H7,TP2,14,2
H7,TP3,23,1
H7,TP4,35,2
H7,TP5,47,3
H7,TP6,17,1
H7,TP7,29,1
H7,TP8,35,2
H7,TP9,64,3
H7,TP10,52,1
H8,TP1,29,3
H8,TP2,2,3
H8,TP3,18,3
H8,TP4,56,1
H8,TP5,38,3
H8,TP6,9,1
H8,TP7,65,3
H8,TP8,42,3
H8,TP9,9,1
H8,TP10,60,2
H9,TP1,15,3
H9,TP2,20,3
H9,TP3,26,1
H9,TP4,6,2
H9,TP5,3,2
H9,TP6,62,1
H9,TP7,52,3
H9,TP8,4,3
H9,TP9,8,3
H9,TP10,47,2
