Hospital,Tipo_de_paciente,Qtd_pacientes_liberados,Dia
H1,TP1,20,2
H1,TP2,73,1
H1,TP3,68,2
H1,TP4,40,2
H1,TP5,65,1
H1,TP6,64,1
H1,TP7,73,2
H1,TP8,17,2
H1,TP9,50,1
H1,TP10,61,1
H10,TP1,71,2
H10,TP2,40,2
H10,TP3,23,1
H10,TP4,19,2
H10,TP5,67,1
H10,TP6,22,1
H10,TP7,53,2
H10,TP8,80,1
H10,TP9,63,1
H10,TP10,14,1
H2,TP1,88,2
H2,TP2,72,2
H2,TP3,59,2
H2,TP4,66,2
H2,TP5,74,2
H2,TP6,0,1
H2,TP7,1,2
H2,TP8,9,2
H2,TP9,60,2
H2,TP10,92,2
H3,TP1,43,1
H3,TP2,26,2
H3,TP3,7,2
H3,TP4,7,2
H3,TP5,48,2
H3,TP6,72,1
H3,TP7,28,2
H3,TP8,20,1
H3,TP9,8,1
H3,TP10,7,1
H4,TP1,76,2
H4,TP2,13,1
H4,TP3,39,2
H4,TP4,64,1
H4,TP5,44,1
H4,TP6,19,1
H4,TP7,78,1
H4,TP8,31,2
H4,TP9,85,1
H4,TP10,87,1
H5,TP1,3,2
H5,TP2,93,2
H5,TP3,53,2
H5,TP4,11,1
H5,TP5,43,2
H5,TP6,52,2
H5,TP7,17,1
H5,TP8,14,2
H5,TP9,64,2
H5,TP10,48,2
H6,TP1,80,1
H6,TP2,17,2
H6,TP3,16,1
H6,TP4,64,1
H6,TP5,20,2
H6,TP6,53,1
H6,TP7,42,2
H6,TP8,82,1
H6,TP9,84,2
H6,TP10,95,2
H7,TP1,28,2
H7,TP2,55,2
H7,TP3,78,1
H7,TP4,61,2
H7,TP5,75,2
H7,TP6,38,1
H7,TP7,23,2
H7,TP8,55,2
H7,TP9,46,2
H7,TP10,19,1
H8,TP1,84,2
H8,TP2,79,1
H8,TP3,28,1
H8,TP4,15,2
H8,TP5,36,2
H8,TP6,61,1
H8,TP7,28,1
H8,TP8,79,1
H8,TP9,38,1
H8,TP10,65,1
H9,TP1,89,2
H9,TP2,97,1
H9,TP3,90,1
H9,TP4,42,1
H9,TP5,10,2
H9,TP6,27,1
H9,TP7,7,2
H9,TP8,63,2
H9,TP9,12,1
H9,TP10,74,2
