Area_pop,Tipo_de_paciente,Qtd_pacientes,Dia
AP1,TP1,84,1
AP1,TP2,299,1
AP1,TP3,343,1
AP1,TP4,119,1
AP1,TP5,261,1
AP1,TP6,243,1
AP1,TP7,230,1
AP1,TP8,392,1
AP1,TP9,332,1
AP1,TP10,31,1
AP1,TP1,292,1
AP1,TP2,358,1
AP1,TP3,103,1
AP1,TP4,189,1
AP1,TP5,362,1
AP1,TP6,168,1
AP1,TP7,106,1
AP1,TP8,360,1
AP1,TP9,11,1
AP1,TP10,106,1
AP1,TP1,360,2
AP1,TP2,43,2
AP1,TP3,80,2
AP1,TP4,130,2
AP1,TP5,78,2
AP1,TP6,180,2
AP1,TP7,46,2
AP1,TP8,196,2
AP1,TP9,37,2
AP1,TP10,324,2
AP1,TP1,127,2
AP1,TP2,183,2
AP1,TP3,348,2
AP1,TP4,21,2
AP1,TP5,174,2
AP1,TP6,20,2
AP1,TP7,210,2
AP1,TP8,122,2
AP1,TP9,243,2
AP1,TP10,143,2
AP1,TP1,257,3
AP1,TP2,258,3
AP1,TP3,76,3
AP1,TP4,228,3
AP1,TP5,157,3
AP1,TP6,351,3
AP1,TP7,105,3
AP1,TP8,368,3
AP1,TP9,360,3
AP1,TP10,77,3
AP1,TP1,267,3
AP1,TP2,110,3
AP1,TP3,198,3
AP1,TP4,154,3
AP1,TP5,359,3
AP1,TP6,391,3
AP1,TP7,376,3
AP1,TP8,170,3
AP1,TP9,214,3
AP1,TP10,159,3
AP1,TP1,104,4
AP1,TP2,27,4
AP1,TP3,30,4
AP1,TP4,236,4
AP1,TP5,7,4
AP1,TP6,82,4
AP1,TP7,246,4
AP1,TP8,29,4
AP1,TP9,264,4
AP1,TP10,307,4
AP1,TP1,183,4
AP1,TP2,256,4
AP1,TP3,161,4
AP1,TP4,69,4
AP1,TP5,109,4
AP1,TP6,115,4
AP1,TP7,49,4
AP1,TP8,98,4
AP1,TP9,32,4
AP1,TP10,58,4
AP10,TP1,57,5
AP10,TP2,354,5
AP10,TP3,112,5
AP10,TP4,204,5
AP10,TP5,368,5
AP10,TP6,26,5
AP10,TP7,37,5
AP10,TP8,83,5
AP10,TP9,125,5
AP10,TP10,10,5
AP10,TP1,166,5
AP10,TP2,26,5
AP10,TP3,369,5
AP10,TP4,331,5
AP10,TP5,293,5
AP10,TP6,82,5
AP10,TP7,36,5
AP10,TP8,72,5
AP10,TP9,324,5
AP10,TP10,100,5
AP10,TP1,92,6
AP10,TP2,106,6
AP10,TP3,325,6
AP10,TP4,16,6
AP10,TP5,178,6
AP10,TP6,399,6
AP10,TP7,372,6
AP10,TP8,9,6
AP10,TP9,252,6
AP10,TP10,271,6
AP10,TP1,145,6
AP10,TP2,367,6
AP10,TP3,197,6
AP10,TP4,392,6
AP10,TP5,64,6
AP10,TP6,14,6
AP10,TP7,136,6
AP10,TP8,113,6
AP10,TP9,269,6
AP10,TP10,198,6
AP10,TP1,178,7
AP10,TP2,93,7
AP10,TP3,281,7
AP10,TP4,116,7
AP10,TP5,282,7
AP10,TP6,190,7
AP10,TP7,327,7
AP10,TP8,180,7
AP10,TP9,99,7
AP10,TP10,67,7
AP10,TP1,238,7
AP10,TP2,15,7
AP10,TP3,383,7
AP10,TP4,282,7
AP10,TP5,157,7
AP10,TP6,256,7
AP10,TP7,163,7
AP10,TP8,388,7
AP10,TP9,246,7
AP10,TP10,260,7
AP10,TP1,390,8
AP10,TP2,82,8
AP10,TP3,354,8
AP10,TP4,105,8
AP10,TP5,172,8
AP10,TP6,261,8
AP10,TP7,355,8
AP10,TP8,174,8
AP10,TP9,36,8
AP10,TP10,237,8
AP10,TP1,362,8
AP10,TP2,196,8
AP10,TP3,218,8
AP10,TP4,234,8
AP10,TP5,379,8
AP10,TP6,32,8
AP10,TP7,167,8
AP10,TP8,263,8
AP10,TP9,86,8
AP10,TP10,238,8
AP11,TP1,338,1
AP11,TP2,309,1
AP11,TP3,67,1
AP11,TP4,88,1
AP11,TP5,56,1
AP11,TP6,313,1
AP11,TP7,170,1
AP11,TP8,311,1
AP11,TP9,352,1
AP11,TP10,188,1
AP11,TP1,54,1
AP11,TP2,221,1
AP11,TP3,312,1
AP11,TP4,334,1
AP11,TP5,114,1
AP11,TP6,194,1
AP11,TP7,201,1
AP11,TP8,329,1
AP11,TP9,371,1
AP11,TP10,199,1
AP11,TP1,239,2
AP11,TP2,230,2
AP11,TP3,148,2
AP11,TP4,158,2
AP11,TP5,79,2
AP11,TP6,91,2
AP11,TP7,292,2
AP11,TP8,59,2
AP11,TP9,30,2
AP11,TP10,378,2
AP11,TP1,348,2
AP11,TP2,216,2
AP11,TP3,336,2
AP11,TP4,327,2
AP11,TP5,83,2
AP11,TP6,249,2
AP11,TP7,245,2
AP11,TP8,63,2
AP11,TP9,32,2
AP11,TP10,240,2
AP11,TP1,198,3
AP11,TP2,119,3
AP11,TP3,34,3
AP11,TP4,382,3
AP11,TP5,128,3
AP11,TP6,295,3
AP11,TP7,172,3
AP11,TP8,150,3
AP11,TP9,268,3
AP11,TP10,18,3
AP11,TP1,226,3
AP11,TP2,46,3
AP11,TP3,329,3
AP11,TP4,40,3
AP11,TP5,206,3
AP11,TP6,359,3
