Hospital,Recurso,Qtd_recurso
H1,R1,268
H2,R1,175
H3,R1,270
H4,R1,167
H5,R1,168
H6,R1,194
H7,R1,109
H8,R1,211
H1,R10,226
H2,R10,188
H3,R10,236
H4,R10,216
H5,R10,149
H6,R10,178
H7,R10,286
H8,R10,287
H1,R2,254
H2,R2,123
H3,R2,121
H4,R2,299
H5,R2,103
H6,R2,200
H7,R2,282
H8,R2,211
H1,R3,114
H2,R3,160
H3,R3,212
H4,R3,116
H5,R3,265
H6,R3,285
H7,R3,250
H8,R3,214
H1,R4,285
H2,R4,164
H3,R4,143
H4,R4,164
H5,R4,185
H6,R4,200
H7,R4,139
H8,R4,101
H1,R5,285
H2,R5,262
H3,R5,231
H4,R5,269
H5,R5,213
H6,R5,152
H7,R5,281
H8,R5,296
H1,R6,192
H2,R6,163
H3,R6,272
H4,R6,289
H5,R6,189
H6,R6,166
H7,R6,102
H8,R6,211
H1,R7,273
H2,R7,284
H3,R7,117
H4,R7,102
H5,R7,169
H6,R7,261
H7,R7,254
H8,R7,137
H1,R8,263
H2,R8,153
H3,R8,288
H4,R8,156
H5,R8,170
H6,R8,146
H7,R8,231
H8,R8,281
H1,R9,296
H2,R9,135
H3,R9,130
H4,R9,205
H5,R9,202
H6,R9,179
H7,R9,105
H8,R9,185
