Hospital,Tipo_de_paciente,Qtd_pacientes_liberados,Dia
H1,TP1,1,1
H1,TP2,104,2
H1,TP3,71,2
H1,TP4,100,2
H1,TP5,132,1
H1,TP6,115,2
H1,TP7,89,1
H1,TP8,70,1
H1,TP9,119,1
H1,TP10,85,2
H2,TP1,8,1
H2,TP2,28,1
H2,TP3,130,2
H2,TP4,46,1
H2,TP5,59,2
H2,TP6,45,1
H2,TP7,37,2
H2,TP8,80,1
H2,TP9,119,1
H2,TP10,19,2
H3,TP1,143,2
H3,TP2,146,1
H3,TP3,19,2
H3,TP4,77,2
H3,TP5,47,2
H3,TP6,11,1
H3,TP7,55,2
H3,TP8,34,2
H3,TP9,59,1
H3,TP10,87,2
H4,TP1,35,2
H4,TP2,102,1
H4,TP3,43,1
H4,TP4,96,1
H4,TP5,128,1
H4,TP6,60,1
H4,TP7,71,2
H4,TP8,95,2
H4,TP9,106,2
H4,TP10,144,2
H5,TP1,94,2
H5,TP2,60,1
H5,TP3,16,2
H5,TP4,10,1
H5,TP5,33,1
H5,TP6,38,2
H5,TP7,37,1
H5,TP8,26,2
H5,TP9,92,2
H5,TP10,78,1
H6,TP1,17,2
H6,TP2,12,2
H6,TP3,64,2
H6,TP4,16,1
H6,TP5,127,2
H6,TP6,85,1
H6,TP7,87,1
H6,TP8,115,1
H6,TP9,78,1
H6,TP10,30,1
H7,TP1,138,1
H7,TP2,8,2
H7,TP3,6,1
H7,TP4,21,1
H7,TP5,53,2
H7,TP6,5,2
H7,TP7,144,2
H7,TP8,127,1
H7,TP9,76,1
H7,TP10,46,2
H8,TP1,94,2
H8,TP2,40,2
H8,TP3,41,1
H8,TP4,86,1
H8,TP5,97,2
H8,TP6,65,1
H8,TP7,33,2
H8,TP8,142,2
H8,TP9,25,2
H8,TP10,121,2
