Hospital,Area_pop,Distancia
H1,AP1,53.85
H1,AP2,365.82
H1,AP3,369.58
H1,AP4,225.2
H1,AP5,310.08
H1,AP6,112.75
H1,AP7,339.82
H1,AP8,274.22
H1,AP9,394.8
H1,AP10,336.59
H1,AP11,261.28
H1,AP12,318.72
H1,AP13,339.52
H1,AP14,163.57
H1,AP15,385.55
H1,AP16,35.47
H1,AP17,328.27
H1,AP18,275.68
H1,AP19,282.57
H1,AP20,242.44
H2,AP1,164.28
H2,AP2,261.89
H2,AP3,265.01
H2,AP4,107.02
H2,AP5,265.0
H2,AP6,78.1
H2,AP7,214.2
H2,AP8,182.57
H2,AP9,307.19
H2,AP10,274.42
H2,AP11,171.28
H2,AP12,227.07
H2,AP13,220.54
H2,AP14,170.85
H2,AP15,303.08
H2,AP16,119.6
H2,AP17,202.68
H2,AP18,186.1
H2,AP19,250.93
H2,AP20,125.02
H3,AP1,265.0
H3,AP2,157.28
H3,AP3,161.68
H3,AP4,272.06
H3,AP5,48.01
H3,AP6,294.25
H3,AP7,255.86
H3,AP8,369.66
H3,AP9,141.42
H3,AP10,63.56
H3,AP11,362.17
H3,AP12,97.08
H3,AP13,200.56
H3,AP14,130.7
H3,AP15,125.73
H3,AP16,294.11
H3,AP17,284.06
H3,AP18,81.49
H3,AP19,54.13
H3,AP20,284.29
H4,AP1,126.3
H4,AP2,293.23
H4,AP3,296.62
H4,AP4,142.86
H4,AP5,274.31
H4,AP6,68.51
H4,AP7,254.02
H4,AP8,207.42
H4,AP9,332.64
H4,AP10,290.08
H4,AP11,195.21
H4,AP12,253.27
H4,AP13,257.69
H4,AP14,158.49
H4,AP15,326.58
H4,AP16,81.84
H4,AP17,242.4
H4,AP18,210.83
H4,AP19,255.16
H4,AP20,160.65
H5,AP1,433.42
H5,AP2,188.92
H5,AP3,186.82
H5,AP4,188.35
H5,AP5,349.52
H5,AP6,317.55
H5,AP7,63.35
H5,AP8,228.06
H5,AP9,263.31
H5,AP10,318.03
H5,AP11,233.15
H5,AP12,227.11
H5,AP13,113.89
H5,AP14,377.93
H5,AP15,277.48
H5,AP16,389.22
H5,AP17,75.17
H5,AP18,231.22
H5,AP19,366.75
H5,AP20,176.82
H6,AP1,50.99
H6,AP2,357.24
H6,AP3,361.04
H6,AP4,222.43
H6,AP5,300.08
H6,AP6,114.34
H6,AP7,334.21
H6,AP8,274.8
H6,AP9,385.42
H6,AP10,326.7
H6,AP11,261.93
H6,AP12,309.61
H6,AP13,332.34
H6,AP14,153.81
H6,AP15,376.02
H6,AP16,42.64
H6,AP17,323.83
H6,AP18,266.6
H6,AP19,272.59
H6,AP20,239.87
H7,AP1,86.28
H7,AP2,337.2
H7,AP3,340.78
H7,AP4,186.97
H7,AP5,298.41
H7,AP6,80.32
H7,AP7,303.0
H7,AP8,239.21
H7,AP9,371.44
H7,AP10,320.26
H7,AP11,226.38
H7,AP12,293.46
H7,AP13,305.77
H7,AP14,162.82
H7,AP15,363.68
H7,AP16,37.11
H7,AP17,290.35
H7,AP18,250.46
H7,AP19,274.37
H7,AP20,204.27
H8,AP1,471.7
H8,AP2,101.98
H8,AP3,97.51
H8,AP4,298.72
H8,AP5,275.39
H8,AP6,407.36
H8,AP7,165.0
H8,AP8,370.02
H8,AP9,143.5
H8,AP10,230.47
H8,AP11,371.39
H8,AP12,162.87
H8,AP13,121.26
H8,AP14,370.06
H8,AP15,163.25
H8,AP16,457.08
H8,AP17,209.47
H8,AP18,196.37
H8,AP19,305.85
H8,AP20,295.45
