Area_pop,Tipo_de_paciente,Qtd_pacientes,Dia
AP1,TP1,101.0,1
AP1,TP2,219.0,1
AP1,TP3,157.0,1
AP1,TP4,246.0,1
AP1,TP5,250.0,1
AP1,TP6,238.0,1
AP1,TP7,252.0,1
AP1,TP8,280.0,1
AP1,TP9,282.0,1
AP1,TP10,200.0,1
AP1,TP1,222.0,1
AP1,TP2,155.0,1
AP1,TP3,217.0,1
AP1,TP4,150.0,1
AP1,TP5,145.0,1
AP1,TP6,188.0,1
AP1,TP7,244.0,1
AP1,TP8,322.0,1
AP1,TP9,172.0,1
AP1,TP10,131.0,1
AP1,TP1,128.0,1
AP1,TP2,14.0,1
AP1,TP3,269.0,1
AP1,TP4,272.0,1
AP1,TP5,264.0,1
AP1,TP6,174.0,1
AP1,TP7,211.0,1
AP1,TP8,146.0,1
AP1,TP9,165.0,1
AP1,TP10,137.0,1
AP1,TP1,370.0,1
AP1,TP2,214.0,1
AP1,TP3,181.0,1
AP1,TP4,106.0,1
AP1,TP5,281.0,1
AP1,TP6,37.0,1
AP1,TP7,108.0,1
AP1,TP8,247.0,1
AP1,TP9,252.0,1
AP1,TP10,166.0,1
AP1,TP1,269.0,1
AP1,TP2,162.0,1
AP1,TP3,225.0,1
AP1,TP4,230.0,1
AP1,TP5,340.0,1
AP1,TP6,393.0,1
AP1,TP7,209.0,1
AP1,TP8,262.0,1
AP1,TP9,234.0,1
AP1,TP10,162.0,1
AP1,TP1,231.0,1
AP1,TP2,235.0,1
AP1,TP3,314.0,1
AP1,TP4,198.0,1
AP1,TP5,124.0,1
AP1,TP6,176.0,1
AP1,TP7,197.0,1
AP1,TP8,151.0,1
AP1,TP9,276.0,1
AP1,TP10,275.0,1
AP1,TP1,44.0,1
AP1,TP2,219.0,1
AP1,TP3,211.0,1
AP1,TP4,310.0,1
AP1,TP5,254.0,1
AP1,TP6,137.0,1
AP1,TP7,249.0,1
AP1,TP8,39.0,1
AP1,TP9,97.0,1
AP1,TP10,256.0,1
AP1,TP1,108.0,2
AP1,TP2,125.0,2
AP1,TP3,242.0,2
AP1,TP4,208.0,2
AP1,TP5,232.0,2
AP1,TP6,93.0,2
AP1,TP7,246.0,2
AP1,TP8,91.0,2
AP1,TP9,259.0,2
AP1,TP10,146.0,2
AP1,TP1,165.0,2
AP1,TP2,87.0,2
AP1,TP3,191.0,2
AP1,TP4,229.0,2
AP1,TP5,281.0,2
AP1,TP6,237.0,2
AP1,TP7,79.0,2
AP1,TP8,187.0,2
AP1,TP9,61.0,2
AP1,TP10,205.0,2
AP1,TP1,197.0,2
AP1,TP2,166.0,2
AP1,TP3,203.0,2
AP1,TP4,110.0,2
AP1,TP5,166.0,2
AP1,TP6,227.0,2
AP1,TP7,118.0,2
AP1,TP8,241.0,2
AP1,TP9,181.0,2
AP1,TP10,117.0,2
AP1,TP1,142.0,2
AP1,TP2,251.0,2
AP1,TP3,247.0,2
AP1,TP4,156.0,2
AP1,TP5,292.0,2
AP1,TP6,264.0,2
