Hospital,Area_pop,Distancia
H1,AP1,74.67
H1,AP2,66.89
H1,AP3,72.78
H1,AP4,35.47
H1,AP5,39.7
H1,AP6,32.06
H1,AP7,39.01
H1,AP8,77.41
H1,AP9,15.56
H1,AP10,81.27
H1,AP11,111.8
H1,AP12,56.65
H1,AP13,85.8
H1,AP14,41.88
H1,AP15,72.92
H1,AP16,81.06
H1,AP17,51.35
H1,AP18,71.03
H1,AP19,66.85
H1,AP20,38.29
H1,AP21,62.01
H1,AP22,79.71
H1,AP23,35.85
H1,AP24,20.12
H1,AP25,108.9
H1,AP26,52.5
H1,AP27,91.27
H1,AP28,119.6
H1,AP29,89.02
H1,AP30,95.43
H2,AP1,64.03
H2,AP2,33.97
H2,AP3,21.1
H2,AP4,34.79
H2,AP5,31.05
H2,AP6,42.52
H2,AP7,59.21
H2,AP8,41.05
H2,AP9,84.06
H2,AP10,13.89
H2,AP11,50.6
H2,AP12,15.65
H2,AP13,54.38
H2,AP14,27.31
H2,AP15,22.83
H2,AP16,73.88
H2,AP17,56.61
H2,AP18,72.2
H2,AP19,9.22
H2,AP20,35.36
H2,AP21,65.31
H2,AP22,48.01
H2,AP23,46.01
H2,AP24,48.88
H2,AP25,45.69
H2,AP26,20.59
H2,AP27,22.67
H2,AP28,54.71
H2,AP29,63.82
H2,AP30,29.15
H3,AP1,65.49
H3,AP2,50.92
H3,AP3,53.46
H3,AP4,16.64
H3,AP5,20.81
H3,AP6,15.65
H3,AP7,34.48
H3,AP8,61.98
H3,AP9,35.23
H3,AP10,61.4
H3,AP11,93.24
H3,AP12,36.69
H3,AP13,72.18
H3,AP14,22.02
H3,AP15,54.64
H3,AP16,73.55
H3,AP17,43.68
H3,AP18,65.15
H3,AP19,46.82
H3,AP20,21.19
H3,AP21,55.66
H3,AP22,65.51
H3,AP23,24.33
H3,AP24,0.0
H3,AP25,89.94
H3,AP26,32.76
H3,AP27,71.28
H3,AP28,100.42
H3,AP29,77.16
H3,AP30,75.82
H4,AP1,83.22
H4,AP2,72.92
H4,AP3,71.51
H4,AP4,39.41
H4,AP5,43.6
H4,AP6,30.08
H4,AP7,48.09
H4,AP8,83.77
H4,AP9,15.13
H4,AP10,83.63
H4,AP11,116.04
H4,AP12,56.94
H4,AP13,93.01
H4,AP14,44.55
H4,AP15,77.42
H4,AP16,90.01
H4,AP17,60.03
H4,AP18,80.22
H4,AP19,67.23
H4,AP20,43.42
H4,AP21,71.06
H4,AP22,86.65
H4,AP23,43.17
H4,AP24,22.8
H4,AP25,112.7
H4,AP26,52.35
H4,AP27,93.24
H4,AP28,123.11
H4,AP29,96.88
H4,AP30,98.31
H5,AP1,31.14
H5,AP2,31.3
H5,AP3,69.46
H5,AP4,28.28
H5,AP5,28.6
H5,AP6,48.02
H5,AP7,7.21
H5,AP8,39.05
H5,AP9,56.92
H5,AP10,60.07
H5,AP11,79.26
H5,AP12,51.43
H5,AP13,44.1
H5,AP14,34.41
H5,AP15,43.42
H5,AP16,38.21
H5,AP17,8.06
H5,AP18,29.41
H5,AP19,57.87
H5,AP20,22.8
H5,AP21,19.92
H5,AP22,39.05
H5,AP23,12.21
H5,AP24,35.74
H5,AP25,78.29
H5,AP26,50.77
H5,AP27,70.26
H5,AP28,89.47
H5,AP29,45.88
H5,AP30,69.86
H6,AP1,61.01
H6,AP2,51.11
H6,AP3,62.07
H6,AP4,20.59
H6,AP5,24.7
H6,AP6,25.5
H6,AP7,27.2
H6,AP8,61.72
H6,AP9,31.24
H6,AP10,66.73
H6,AP11,96.18
H6,AP12,44.55
H6,AP13,70.52
H6,AP14,27.86
H6,AP15,57.28
H6,AP16,68.26
H6,AP17,38.12
H6,AP18,59.03
H6,AP19,54.34
H6,AP20,22.63
H6,AP21,49.65
H6,AP22,64.26
H6,AP23,20.62
H6,AP24,9.85
H6,AP25,93.43
H6,AP26,41.11
H6,AP27,76.94
H6,AP28,104.24
H6,AP29,74.33
H6,AP30,80.45
H7,AP1,83.44
H7,AP2,54.04
H7,AP3,2.24
H7,AP4,42.76
H7,AP5,40.52
H7,AP6,39.22
H7,AP7,72.11
H7,AP8,61.91
H7,AP9,84.12
H7,AP10,31.06
H7,AP11,67.36
H7,AP12,16.76
H7,AP13,75.29
H7,AP14,34.93
H7,AP15,43.83
H7,AP16,93.34
H7,AP17,72.56
H7,AP18,90.43
H7,AP19,12.21
H7,AP20,46.17
H7,AP21,82.66
H7,AP22,68.8
H7,AP23,57.87
H7,AP24,51.35
H7,AP25,61.66
H7,AP26,19.03
H7,AP27,34.93
H7,AP28,68.68
H7,AP29,84.6
H7,AP30,44.41
H8,AP1,82.57
H8,AP2,64.63
H8,AP3,50.54
H8,AP4,30.02
H8,AP5,33.24
H8,AP6,10.82
H8,AP7,52.35
H8,AP8,75.8
H8,AP9,37.22
H8,AP10,67.01
H8,AP11,102.08
H8,AP12,38.18
H8,AP13,87.14
H8,AP14,31.32
H8,AP15,65.19
H8,AP16,90.96
H8,AP17,61.35
H8,AP18,82.87
H8,AP19,48.17
H8,AP20,36.01
H8,AP21,73.39
H8,AP22,80.22
H8,AP23,41.76
H8,AP24,17.89
H8,AP25,97.94
H8,AP26,33.24
H8,AP27,75.74
H8,AP28,107.65
H8,AP29,93.05
H8,AP30,82.2
