Hospital,Recurso,Qtd_recurso
H1,R1,128.0
H2,R1,126.0
H3,R1,119.0
H4,R1,118.0
H5,R1,130.0
H6,R1,118.0
H7,R1,120.0
H8,R1,131.0
H9,R1,120.0
H10,R1,129.0
H11,R1,127.0
H12,R1,124.0
H13,R1,129.0
H14,R1,136.0
H15,R1,123.0
H1,R10,125.0
H2,R10,122.0
H3,R10,129.0
H4,R10,126.0
H5,R10,118.0
H6,R10,129.0
H7,R10,123.0
H8,R10,133.0
H9,R10,122.0
H10,R10,128.0
H11,R10,121.0
H12,R10,120.0
H13,R10,121.0
H14,R10,114.0
H15,R10,121.0
H1,R2,122.0
H2,R2,123.0
H3,R2,125.0
H4,R2,133.0
H5,R2,130.0
H6,R2,121.0
H7,R2,126.0
H8,R2,136.0
H9,R2,130.0
H10,R2,136.0
H11,R2,121.0
H12,R2,128.0
H13,R2,119.0
H14,R2,128.0
H15,R2,128.0
H1,R3,119.0
H2,R3,133.0
H3,R3,127.0
H4,R3,132.0
H5,R3,120.0
H6,R3,135.0
H7,R3,125.0
H8,R3,134.0
H9,R3,129.0
H10,R3,123.0
H11,R3,124.0
H12,R3,121.0
H13,R3,132.0
H14,R3,130.0
H15,R3,113.0
H1,R4,131.0
H2,R4,120.0
H3,R4,130.0
H4,R4,126.0
H5,R4,128.0
H6,R4,124.0
H7,R4,131.0
H8,R4,123.0
H9,R4,140.0
H10,R4,121.0
H11,R4,120.0
H12,R4,133.0
H13,R4,123.0
H14,R4,129.0
H15,R4,128.0
H1,R5,124.0
H2,R5,120.0
H3,R5,126.0
H4,R5,129.0
H5,R5,111.0
H6,R5,126.0
H7,R5,122.0
H8,R5,132.0
H9,R5,116.0
H10,R5,125.0
H11,R5,125.0
H12,R5,121.0
H13,R5,120.0
H14,R5,127.0
H15,R5,127.0
H1,R6,126.0
H2,R6,121.0
H3,R6,119.0
H4,R6,120.0
H5,R6,124.0
H6,R6,126.0
H7,R6,128.0
H8,R6,131.0
H9,R6,121.0
H10,R6,129.0
H11,R6,123.0
H12,R6,126.0
H13,R6,131.0
H14,R6,121.0
H15,R6,128.0
H1,R7,123.0
H2,R7,128.0
H3,R7,124.0
H4,R7,116.0
H5,R7,125.0
H6,R7,132.0
H7,R7,128.0
H8,R7,121.0
H9,R7,127.0
H10,R7,126.0
H11,R7,124.0
H12,R7,119.0
H13,R7,117.0
H14,R7,127.0
H15,R7,129.0
H1,R8,127.0
H2,R8,117.0
H3,R8,118.0
H4,R8,122.0
H5,R8,111.0
H6,R8,122.0
H7,R8,118.0
H8,R8,116.0
H9,R8,129.0
H10,R8,132.0
H11,R8,126.0
H12,R8,124.0
H13,R8,132.0
H14,R8,119.0
H15,R8,126.0
H1,R9,124.0
H2,R9,132.0
H3,R9,119.0
H4,R9,128.0
H5,R9,120.0
H6,R9,125.0
H7,R9,123.0
H8,R9,127.0
H9,R9,125.0
H10,R9,133.0
H11,R9,114.0
H12,R9,128.0
H13,R9,127.0
H14,R9,120.0
H15,R9,124.0
