Hospital,Area_pop,Distancia
H1,AP1,28.02
H1,AP2,55.44
H1,AP3,38.21
H1,AP4,51.66
H1,AP5,42.54
H1,AP6,42.95
H1,AP7,23.19
H1,AP8,33.29
H1,AP9,26.17
H1,AP10,46.01
H1,AP11,56.09
H1,AP12,69.05
H1,AP13,49.03
H1,AP14,73.38
H1,AP15,51.89
H1,AP16,56.44
H1,AP17,35.36
H1,AP18,26.08
H1,AP19,15.0
H1,AP20,37.34
H1,AP21,52.15
H1,AP22,77.47
H1,AP23,64.28
H1,AP24,14.76
H1,AP25,46.53
H1,AP26,70.72
H1,AP27,10.63
H1,AP28,51.66
H1,AP29,28.07
H1,AP30,22.67
H2,AP1,23.6
H2,AP2,41.11
H2,AP3,64.5
H2,AP4,69.03
H2,AP5,15.81
H2,AP6,13.0
H2,AP7,42.64
H2,AP8,22.09
H2,AP9,4.12
H2,AP10,57.8
H2,AP11,25.96
H2,AP12,41.23
H2,AP13,55.71
H2,AP14,47.71
H2,AP15,51.62
H2,AP16,30.61
H2,AP17,29.97
H2,AP18,47.54
H2,AP19,18.68
H2,AP20,17.72
H2,AP21,65.51
H2,AP22,60.9
H2,AP23,72.11
H2,AP24,44.38
H2,AP25,28.23
H2,AP26,51.87
H2,AP27,38.9
H2,AP28,26.25
H2,AP29,40.0
H2,AP30,17.03
H3,AP1,52.63
H3,AP2,51.0
H3,AP3,100.46
H3,AP4,100.0
H3,AP5,28.86
H3,AP6,25.02
H3,AP7,77.39
H3,AP8,48.01
H3,AP9,41.59
H3,AP10,86.56
H3,AP11,12.04
H3,AP12,22.02
H3,AP13,81.32
H3,AP14,32.14
H3,AP15,72.62
H3,AP16,25.46
H3,AP17,54.23
H3,AP18,81.88
H3,AP19,55.01
H3,AP20,39.41
H3,AP21,94.26
H3,AP22,59.41
H3,AP23,95.9
H3,AP24,81.79
H3,AP25,41.23
H3,AP26,49.65
H3,AP27,76.16
H3,AP28,28.6
H3,AP29,71.31
H3,AP30,50.25
H4,AP1,11.7
H4,AP2,56.3
H4,AP3,55.17
H4,AP4,66.85
H4,AP5,27.46
H4,AP6,30.15
H4,AP7,38.08
H4,AP8,34.0
H4,AP9,16.64
H4,AP10,59.03
H4,AP11,43.01
H4,AP12,60.93
H4,AP13,60.03
H4,AP14,67.23
H4,AP15,59.84
H4,AP16,40.31
H4,AP17,19.65
H4,AP18,27.86
H4,AP19,3.0
H4,AP20,33.97
H4,AP21,65.97
H4,AP22,77.62
H4,AP23,76.24
