Hospital,Tipo_de_paciente,Qtd_pacientes_liberados,Dia
H1,TP1,2,2
H1,TP2,62,3
H1,TP3,57,1
H1,TP4,40,3
H1,TP5,39,3
H1,TP6,15,3
H1,TP7,8,3
H1,TP8,9,1
H1,TP9,17,2
H1,TP10,69,2
H10,TP1,42,3
H10,TP2,50,3
H10,TP3,60,3
H10,TP4,45,3
H10,TP5,12,3
H10,TP6,58,1
H10,TP7,35,2
H10,TP8,60,2
H10,TP9,61,1
H10,TP10,8,1
H11,TP1,14,3
H11,TP2,69,2
H11,TP3,23,2
H11,TP4,50,3
H11,TP5,9,3
H11,TP6,35,2
H11,TP7,39,1
H11,TP8,54,2
H11,TP9,45,3
H11,TP10,51,1
H12,TP1,23,1
H12,TP2,8,1
H12,TP3,0,2
H12,TP4,67,2
H12,TP5,58,3
H12,TP6,13,1
H12,TP7,53,2
H12,TP8,26,3
H12,TP9,31,3
H12,TP10,52,1
H13,TP1,24,1
H13,TP2,33,3
H13,TP3,7,2
H13,TP4,45,2
H13,TP5,35,1
H13,TP6,0,1
H13,TP7,67,3
H13,TP8,8,1
H13,TP9,43,3
H13,TP10,36,3
H14,TP1,39,1
H14,TP2,54,3
H14,TP3,40,2
H14,TP4,55,1
H14,TP5,36,2
H14,TP6,62,3
H14,TP7,42,2
H14,TP8,55,2
H14,TP9,36,1
H14,TP10,42,3
H15,TP1,40,3
H15,TP2,68,2
H15,TP3,54,3
H15,TP4,39,3
H15,TP5,3,2
H15,TP6,43,3
H15,TP7,51,2
H15,TP8,30,2
H15,TP9,62,2
H15,TP10,20,2
H2,TP1,65,3
H2,TP2,23,2
H2,TP3,28,3
H2,TP4,33,2
H2,TP5,5,2
H2,TP6,53,1
H2,TP7,33,3
H2,TP8,24,3
H2,TP9,4,2
H2,TP10,35,3
H3,TP1,32,2
H3,TP2,27,3
H3,TP3,42,1
H3,TP4,7,1
H3,TP5,10,1
H3,TP6,3,3
H3,TP7,39,3
H3,TP8,49,2
H3,TP9,15,1
H3,TP10,29,3
H4,TP1,64,3
H4,TP2,16,1
H4,TP3,59,1
H4,TP4,66,2
H4,TP5,33,3
H4,TP6,22,2
H4,TP7,68,1
H4,TP8,32,3
H4,TP9,6,3
H4,TP10,33,1
H5,TP1,11,2
H5,TP2,66,3
H5,TP3,23,1
H5,TP4,26,1
H5,TP5,45,3
H5,TP6,48,3
H5,TP7,69,1
H5,TP8,50,1
H5,TP9,9,3
H5,TP10,61,1
H6,TP1,12,1
H6,TP2,42,1
H6,TP3,59,3
H6,TP4,16,2
H6,TP5,66,2
H6,TP6,27,3
H6,TP7,57,2
H6,TP8,7,1
H6,TP9,69,1
H6,TP10,67,1
H7,TP1,32,1
H7,TP2,57,1
H7,TP3,5,1
H7,TP4,66,1
H7,TP5,15,3
H7,TP6,41,2
H7,TP7,53,3
H7,TP8,53,3
H7,TP9,61,2
H7,TP10,27,3
H8,TP1,28,3
H8,TP2,49,2
H8,TP3,8,2
H8,TP4,43,1
H8,TP5,23,1
H8,TP6,18,2
H8,TP7,60,3
H8,TP8,60,1
H8,TP9,7,2
H8,TP10,23,2
H9,TP1,43,1
H9,TP2,63,2
H9,TP3,2,1
H9,TP4,54,3
H9,TP5,6,1
H9,TP6,16,1
H9,TP7,55,3
H9,TP8,37,1
H9,TP9,41,3
H9,TP10,15,3
