Hospital,Tipo_de_paciente,Qtd_pacientes_liberados,Dia
H1,TP1,89,3
H1,TP2,62,2
H1,TP3,2,2
H1,TP4,40,2
H1,TP5,39,1
H1,TP6,19,1
H1,TP7,57,1
H1,TP8,13,1
H1,TP9,41,1
H1,TP10,80,2
H10,TP1,73,2
H10,TP2,34,2
H10,TP3,83,2
H10,TP4,76,1
H10,TP5,1,3
H10,TP6,63,2
H10,TP7,59,1
H10,TP8,24,3
H10,TP9,28,3
H10,TP10,53,3
H2,TP1,23,3
H2,TP2,55,2
H2,TP3,2,3
H2,TP4,24,3
H2,TP5,73,2
H2,TP6,14,1
H2,TP7,34,1
H2,TP8,21,3
H2,TP9,19,2
H2,TP10,53,2
H3,TP1,27,2
H3,TP2,89,2
H3,TP3,85,2
H3,TP4,52,1
H3,TP5,54,2
H3,TP6,7,1
H3,TP7,59,3
H3,TP8,19,2
H3,TP9,46,2
H3,TP10,63,1
H4,TP1,72,1
H4,TP2,21,2
H4,TP3,75,3
H4,TP4,17,2
H4,TP5,65,1
H4,TP6,4,1
H4,TP7,49,3
H4,TP8,86,3
H4,TP9,21,1
H4,TP10,55,2
H5,TP1,61,3
H5,TP2,41,2
H5,TP3,42,3
H5,TP4,71,1
H5,TP5,74,2
H5,TP6,74,3
H5,TP7,21,3
H5,TP8,68,2
H5,TP9,45,1
H5,TP10,83,1
H6,TP1,2,1
H6,TP2,41,3
H6,TP3,5,1
H6,TP4,81,2
H6,TP5,34,3
H6,TP6,70,1
H6,TP7,9,1
H6,TP8,81,2
H6,TP9,72,1
H6,TP10,57,3
H7,TP1,24,2
H7,TP2,47,3
H7,TP3,83,3
H7,TP4,20,3
H7,TP5,10,3
H7,TP6,44,2
H7,TP7,71,2
H7,TP8,81,2
H7,TP9,22,2
H7,TP10,1,2
H8,TP1,3,3
H8,TP2,33,3
H8,TP3,71,3
H8,TP4,56,1
H8,TP5,69,1
H8,TP6,43,1
H8,TP7,48,1
H8,TP8,32,3
H8,TP9,88,1
H8,TP10,30,2
H9,TP1,3,1
H9,TP2,29,1
H9,TP3,12,3
H9,TP4,31,2
H9,TP5,71,1
H9,TP6,20,3
H9,TP7,37,3
H9,TP8,71,3
H9,TP9,42,1
H9,TP10,45,3
