Hospital,Recurso,Qtd_recurso
H1,R1,172.0
H2,R1,180.0
H3,R1,173.0
H4,R1,178.0
H5,R1,175.0
H6,R1,170.0
H7,R1,178.0
H8,R1,176.0
H9,R1,176.0
H10,R1,176.0
H1,R10,175.0
H2,R10,175.0
H3,R10,177.0
H4,R10,173.0
H5,R10,173.0
H6,R10,176.0
H7,R10,177.0
H8,R10,177.0
H9,R10,175.0
H10,R10,177.0
H1,R11,175.0
H2,R11,172.0
H3,R11,174.0
H4,R11,177.0
H5,R11,176.0
H6,R11,176.0
H7,R11,173.0
H8,R11,173.0
H9,R11,174.0
H10,R11,176.0
H1,R12,175.0
H2,R12,175.0
H3,R12,173.0
H4,R12,174.0
H5,R12,174.0
H6,R12,176.0
H7,R12,172.0
H8,R12,178.0
H9,R12,174.0
H10,R12,175.0
H1,R2,175.0
H2,R2,176.0
H3,R2,176.0
H4,R2,174.0
H5,R2,174.0
H6,R2,176.0
H7,R2,175.0
H8,R2,174.0
H9,R2,175.0
H10,R2,175.0
H1,R3,173.0
H2,R3,175.0
H3,R3,176.0
H4,R3,172.0
H5,R3,178.0
H6,R3,176.0
H7,R3,176.0
H8,R3,175.0
H9,R3,174.0
H10,R3,175.0
H1,R4,174.0
H2,R4,178.0
H3,R4,177.0
H4,R4,171.0
H5,R4,174.0
H6,R4,176.0
H7,R4,175.0
H8,R4,176.0
H9,R4,177.0
H10,R4,173.0
H1,R5,174.0
H2,R5,177.0
H3,R5,175.0
H4,R5,175.0
H5,R5,172.0
H6,R5,173.0
H7,R5,176.0
H8,R5,177.0
H9,R5,174.0
H10,R5,177.0
H1,R6,173.0
H2,R6,174.0
H3,R6,173.0
H4,R6,175.0
H5,R6,178.0
H6,R6,176.0
H7,R6,174.0
H8,R6,177.0
H9,R6,174.0
H10,R6,172.0
H1,R7,173.0
H2,R7,175.0
H3,R7,175.0
H4,R7,174.0
H5,R7,174.0
H6,R7,173.0
H7,R7,175.0
H8,R7,175.0
H9,R7,172.0
H10,R7,176.0
H1,R8,178.0
H2,R8,176.0
H3,R8,174.0
H4,R8,177.0
H5,R8,176.0
H6,R8,176.0
H7,R8,174.0
H8,R8,174.0
H9,R8,175.0
H10,R8,177.0
H1,R9,171.0
H2,R9,174.0
H3,R9,176.0
H4,R9,174.0
H5,R9,177.0
H6,R9,174.0
H7,R9,179.0
H8,R9,177.0
H9,R9,175.0
H10,R9,174.0
