Hospital,Area_pop,Distancia
H1,AP1,4.47
H1,AP2,52.15
H1,AP3,19.42
H1,AP4,48.3
H1,AP5,58.18
H1,AP6,62.64
H1,AP7,76.61
H1,AP8,65.22
H1,AP9,53.6
H1,AP10,60.75
H1,AP11,37.0
H1,AP12,46.07
H1,AP13,53.01
H1,AP14,21.95
H1,AP15,41.23
H1,AP16,33.14
H1,AP17,33.54
H1,AP18,15.56
H1,AP19,40.79
H1,AP20,41.77
H1,AP21,74.89
H1,AP22,68.68
H1,AP23,30.61
H1,AP24,70.66
H1,AP25,72.95
H2,AP1,28.0
H2,AP2,46.17
H2,AP3,7.81
H2,AP4,30.61
H2,AP5,38.95
H2,AP6,39.4
H2,AP7,60.44
H2,AP8,49.41
H2,AP9,30.08
H2,AP10,41.11
H2,AP11,59.84
H2,AP12,43.1
H2,AP13,34.67
H2,AP14,21.4
H2,AP15,20.0
H2,AP16,10.3
H2,AP17,33.24
H2,AP18,15.81
H2,AP19,49.68
H2,AP20,62.65
H2,AP21,55.17
H2,AP22,53.71
H2,AP23,22.56
H2,AP24,49.2
H2,AP25,53.04
H3,AP1,13.89
H3,AP2,42.2
H3,AP3,17.09
H3,AP4,41.76
H3,AP5,51.92
H3,AP6,63.51
H3,AP7,68.6
H3,AP8,57.31
H3,AP9,54.13
H3,AP10,64.44
H3,AP11,43.91
H3,AP12,35.85
H3,AP13,57.28
H3,AP14,30.08
H3,AP15,37.0
H3,AP16,30.81
H3,AP17,23.32
H3,AP18,22.47
H3,AP19,51.2
H3,AP20,38.47
H3,AP21,78.64
H3,AP22,74.63
H3,AP23,37.58
H3,AP24,73.24
H3,AP25,76.58
H4,AP1,76.66
H4,AP2,34.71
H4,AP3,54.2
H4,AP4,24.21
H4,AP5,15.81
H4,AP6,55.04
H4,AP7,8.0
H4,AP8,9.06
H4,AP9,50.99
H4,AP10,70.86
H4,AP11,108.67
H4,AP12,41.19
H4,AP13,70.6
H4,AP14,75.74
H4,AP15,34.83
H4,AP16,44.69
H4,AP17,47.52
H4,AP18,70.04
H4,AP19,104.06
H4,AP20,93.43
H4,AP21,79.0
H4,AP22,89.44
H4,AP23,74.63
H4,AP24,69.01
H4,AP25,77.01
H5,AP1,51.48
H5,AP2,91.27
H5,AP3,51.04
H5,AP4,72.42
H5,AP5,77.88
H5,AP6,48.6
H5,AP7,100.72
H5,AP8,90.82
H5,AP9,46.01
H5,AP10,33.11
H5,AP11,66.04
H5,AP12,88.0
H5,AP13,27.2
H5,AP14,29.73
H5,AP15,60.08
H5,AP16,51.42
H5,AP17,77.23
H5,AP18,37.36
H5,AP19,29.83
H5,AP20,91.26
H5,AP21,41.3
H5,AP22,25.32
H5,AP23,23.09
H5,AP24,44.6
H5,AP25,40.61
H6,AP1,71.84
H6,AP2,24.02
H6,AP3,51.09
H6,AP4,22.85
H6,AP5,19.03
H6,AP6,61.52
H6,AP7,10.2
H6,AP8,5.1
H6,AP9,56.0
H6,AP10,76.01
H6,AP11,102.93
H6,AP12,31.06
H6,AP13,74.55
H6,AP14,74.33
H6,AP15,35.11
H6,AP16,44.28
H6,AP17,39.22
H6,AP18,67.8
H6,AP19,102.42
H6,AP20,84.34
H6,AP21,85.59
H6,AP22,94.19
H6,AP23,74.69
H6,AP24,75.8
H6,AP25,83.49
H7,AP1,18.6
H7,AP2,59.48
H7,AP3,18.79
H7,AP4,47.42
H7,AP5,55.97
H7,AP6,49.25
H7,AP7,77.23
H7,AP8,66.07
H7,AP9,41.0
H7,AP10,44.72
H7,AP11,46.01
H7,AP12,54.92
H7,AP13,36.72
H7,AP14,6.0
H7,AP15,37.01
H7,AP16,27.2
H7,AP17,43.19
H7,AP18,2.0
H7,AP19,33.02
H7,AP20,58.69
H7,AP21,58.67
H7,AP22,51.66
H7,AP23,13.6
H7,AP24,55.36
H7,AP25,56.82
H8,AP1,42.72
H8,AP2,13.45
H8,AP3,30.0
H8,AP4,26.83
H8,AP5,35.44
H8,AP6,66.22
H8,AP7,44.38
H8,AP8,34.23
H8,AP9,57.43
H8,AP10,74.25
H8,AP11,70.94
H8,AP12,7.28
H8,AP13,69.29
H8,AP14,53.6
H8,AP15,31.89
H8,AP16,34.01
H8,AP17,5.66
H8,AP18,45.71
H8,AP19,78.77
H8,AP20,50.36
H8,AP21,87.32
H8,AP22,89.19
H8,AP23,58.0
H8,AP24,79.32
H8,AP25,85.09
H9,AP1,18.38
H9,AP2,74.09
H9,AP3,37.8
H9,AP4,67.8
H9,AP5,77.1
H9,AP6,71.01
H9,AP7,97.08
H9,AP8,85.7
H9,AP9,63.29
H9,AP10,63.56
H9,AP11,25.0
H9,AP12,68.0
H9,AP13,55.32
H9,AP14,22.0
H9,AP15,58.67
H9,AP16,49.19
H9,AP17,55.47
H9,AP18,23.41
H9,AP19,21.21
H9,AP20,51.08
H9,AP21,76.54
H9,AP22,65.37
H9,AP23,30.41
H9,AP24,75.13
H9,AP25,75.0
H10,AP1,17.03
H10,AP2,60.08
H10,AP3,19.72
H10,AP4,48.8
H10,AP5,57.49
H10,AP6,51.24
H10,AP7,78.57
H10,AP8,67.36
H10,AP9,43.0
H10,AP10,46.52
H10,AP11,44.01
H10,AP12,55.32
H10,AP13,38.47
H10,AP14,6.32
H10,AP15,38.6
H10,AP16,28.84
H10,AP17,43.42
H10,AP18,2.83
H10,AP19,31.91
H10,AP20,57.28
H10,AP21,60.42
H10,AP22,53.04
H10,AP23,14.87
H10,AP24,57.25
H10,AP25,58.59
