Hospital,Recurso,Qtd_recurso
H1,R1,244.0
H2,R1,243.0
H3,R1,242.0
H4,R1,247.0
H5,R1,244.0
H6,R1,247.0
H7,R1,247.0
H8,R1,245.0
H9,R1,243.0
H10,R1,245.0
H1,R10,247.0
H2,R10,243.0
H3,R10,245.0
H4,R10,244.0
H5,R10,245.0
H6,R10,244.0
H7,R10,246.0
H8,R10,244.0
H9,R10,244.0
H10,R10,247.0
H1,R11,244.0
H2,R11,245.0
H3,R11,246.0
H4,R11,246.0
H5,R11,246.0
H6,R11,246.0
H7,R11,245.0
H8,R11,243.0
H9,R11,243.0
H10,R11,245.0
H1,R12,248.0
H2,R12,245.0
H3,R12,243.0
H4,R12,244.0
H5,R12,244.0
H6,R12,245.0
H7,R12,247.0
H8,R12,243.0
H9,R12,247.0
H10,R12,244.0
H1,R2,244.0
H2,R2,243.0
H3,R2,244.0
H4,R2,245.0
H5,R2,246.0
H6,R2,243.0
H7,R2,247.0
H8,R2,247.0
H9,R2,245.0
H10,R2,247.0
H1,R3,245.0
H2,R3,247.0
H3,R3,242.0
H4,R3,247.0
H5,R3,246.0
H6,R3,244.0
H7,R3,244.0
H8,R3,245.0
H9,R3,245.0
H10,R3,243.0
H1,R4,243.0
H2,R4,243.0
H3,R4,244.0
H4,R4,247.0
H5,R4,246.0
H6,R4,242.0
H7,R4,245.0
H8,R4,246.0
H9,R4,242.0
H10,R4,243.0
H1,R5,245.0
H2,R5,247.0
H3,R5,247.0
H4,R5,247.0
H5,R5,243.0
H6,R5,245.0
H7,R5,245.0
H8,R5,245.0
H9,R5,246.0
H10,R5,243.0
H1,R6,247.0
H2,R6,247.0
H3,R6,246.0
H4,R6,246.0
H5,R6,245.0
H6,R6,243.0
H7,R6,246.0
H8,R6,243.0
H9,R6,246.0
H10,R6,246.0
H1,R7,244.0
H2,R7,247.0
H3,R7,244.0
H4,R7,242.0
H5,R7,247.0
H6,R7,244.0
H7,R7,244.0
H8,R7,245.0
H9,R7,243.0
H10,R7,244.0
H1,R8,240.0
H2,R8,247.0
H3,R8,240.0
H4,R8,245.0
H5,R8,245.0
H6,R8,247.0
H7,R8,244.0
H8,R8,245.0
H9,R8,247.0
H10,R8,244.0
H1,R9,243.0
H2,R9,245.0
H3,R9,244.0
H4,R9,247.0
H5,R9,243.0
H6,R9,244.0
H7,R9,248.0
H8,R9,246.0
H9,R9,244.0
H10,R9,243.0
