Hospital,Area_pop,Distancia
H1,AP1,53.82
H1,AP2,61.52
H1,AP3,44.01
H1,AP4,65.6
H1,AP5,49.04
H1,AP6,37.12
H1,AP7,74.89
H1,AP8,40.5
H1,AP9,26.68
H1,AP10,81.3
H1,AP11,38.42
H1,AP12,24.41
H1,AP13,70.72
H1,AP14,19.42
H1,AP15,31.05
H1,AP16,47.01
H1,AP17,39.05
H1,AP18,37.54
H1,AP19,45.88
H1,AP20,64.54
H1,AP21,36.67
H1,AP22,58.14
H1,AP23,14.87
H1,AP24,36.67
H1,AP25,68.0
H1,AP26,21.21
H1,AP27,71.87
H1,AP28,57.98
H1,AP29,13.89
H1,AP30,54.92
H2,AP1,16.76
H2,AP2,23.35
H2,AP3,75.77
H2,AP4,78.92
H2,AP5,22.83
H2,AP6,10.3
H2,AP7,37.58
H2,AP8,78.1
H2,AP9,62.77
H2,AP10,80.26
H2,AP11,5.66
H2,AP12,49.48
H2,AP13,33.62
H2,AP14,57.49
H2,AP15,36.22
H2,AP16,63.01
H2,AP17,22.47
H2,AP18,51.0
H2,AP19,42.15
H2,AP20,37.0
H2,AP21,13.89
H2,AP22,42.43
H2,AP23,39.81
H2,AP24,71.2
H2,AP25,32.56
H2,AP26,25.5
H2,AP27,39.0
H2,AP28,75.06
H2,AP29,44.28
H2,AP30,44.41
H3,AP1,61.77
H3,AP2,72.5
H3,AP3,25.81
H3,AP4,38.95
H3,AP5,69.07
H3,AP6,44.28
H3,AP7,80.8
H3,AP8,37.64
H3,AP9,43.46
H3,AP10,58.52
H3,AP11,53.94
H3,AP12,50.25
H3,AP13,76.61
H3,AP14,32.31
H3,AP15,57.38
H3,AP16,20.52
H3,AP17,61.2
H3,AP18,14.14
H3,AP19,31.62
H3,AP20,61.4
H3,AP21,56.04
H3,AP22,47.93
H3,AP23,13.34
H3,AP24,24.7
H3,AP25,71.7
H3,AP26,45.35
H3,AP27,72.18
H3,AP28,31.06
H3,AP29,39.7
H3,AP30,42.06
H4,AP1,67.07
H4,AP2,67.6
H4,AP3,81.04
H4,AP4,106.61
H4,AP5,41.76
H4,AP6,58.52
H4,AP7,85.38
H4,AP8,68.01
H4,AP9,40.11
H4,AP10,119.97
H4,AP11,47.17
H4,AP12,20.22
H4,AP13,82.15
H4,AP14,45.54
H4,AP15,15.52
H4,AP16,88.01
H4,AP17,32.25
H4,AP18,77.99
H4,AP19,81.84
H4,AP20,88.29
H4,AP21,39.01
H4,AP22,89.47
H4,AP23,55.61
H4,AP24,71.81
H4,AP25,83.02
H4,AP26,29.07
H4,AP27,90.35
H4,AP28,99.02
H4,AP29,29.15
H4,AP30,88.68
H5,AP1,109.99
H5,AP2,119.4
H5,AP3,27.51
H5,AP4,67.01
H5,AP5,108.34
H5,AP6,92.2
H5,AP7,130.18
H5,AP8,19.65
H5,AP9,47.01
H5,AP10,96.52
H5,AP11,97.42
H5,AP12,67.36
H5,AP13,125.94
H5,AP14,43.42
H5,AP15,85.15
H5,AP16,58.24
H5,AP17,97.86
H5,AP18,61.72
H5,AP19,81.49
H5,AP20,112.2
H5,AP21,96.15
H5,AP22,98.11
H5,AP23,57.38
H5,AP24,26.25
H5,AP25,121.63
H5,AP26,79.85
H5,AP27,122.79
H5,AP28,58.14
H5,AP29,61.85
H5,AP30,91.71
H6,AP1,83.63
H6,AP2,91.97
H6,AP3,26.91
H6,AP4,65.31
H6,AP5,78.71
H6,AP6,66.22
H6,AP7,104.48
H6,AP8,10.44
H6,AP9,19.31
H6,AP10,90.03
H6,AP11,69.03
H6,AP12,38.01
H6,AP13,100.26
H6,AP14,13.34
H6,AP15,55.11
H6,AP16,49.73
H6,AP17,68.03
H6,AP18,47.01
H6,AP19,63.95
H6,AP20,90.38
H6,AP21,66.89
H6,AP22,79.56
H6,AP23,33.11
H6,AP24,16.97
H6,AP25,96.83
H6,AP26,50.09
H6,AP27,99.48
H6,AP28,55.9
H6,AP29,31.78
H6,AP30,74.33
H7,AP1,71.47
H7,AP2,76.03
H7,AP3,57.78
H7,AP4,88.41
H7,AP5,55.23
H7,AP6,57.56
H7,AP7,92.11
H7,AP8,43.05
H7,AP9,15.13
H7,AP10,106.55
H7,AP11,52.39
H7,AP12,6.4
H7,AP13,88.26
H7,AP14,21.54
H7,AP15,26.4
H7,AP16,70.18
H7,AP17,43.93
H7,AP18,62.13
H7,AP19,71.47
H7,AP20,87.14
H7,AP21,46.65
H7,AP22,83.02
H7,AP23,39.82
H7,AP24,48.1
H7,AP25,87.09
H7,AP26,29.55
H7,AP27,92.57
H7,AP28,79.93
H7,AP29,12.17
H7,AP30,80.28
H8,AP1,23.09
H8,AP2,25.08
H8,AP3,102.73
H8,AP4,89.19
H8,AP5,51.66
H8,AP6,37.58
H8,AP7,10.3
H8,AP8,111.4
H8,AP9,100.85
H8,AP10,76.03
H8,AP11,43.1
