Hospital,Tipo_de_paciente,Qtd_pacientes_liberados,Dia
H1,TP1,24,2
H1,TP2,67,1
H1,TP3,43,2
H1,TP4,103,1
H1,TP5,79,3
H1,TP6,88,3
H1,TP7,76,4
H1,TP8,124,2
H1,TP9,13,4
H1,TP10,8,1
H10,TP1,59,3
H10,TP2,71,1
H10,TP3,30,1
H10,TP4,113,1
H10,TP5,16,2
H10,TP6,120,2
H10,TP7,63,3
H10,TP8,59,2
H10,TP9,98,4
H10,TP10,108,1
H2,TP1,61,3
H2,TP2,29,4
H2,TP3,91,1
H2,TP4,5,1
H2,TP5,13,2
H2,TP6,36,3
H2,TP7,95,1
H2,TP8,74,2
H2,TP9,53,4
H2,TP10,92,2
H3,TP1,30,4
H3,TP2,8,1
H3,TP3,72,1
H3,TP4,59,2
H3,TP5,60,4
H3,TP6,115,1
H3,TP7,101,1
H3,TP8,55,1
H3,TP9,111,4
H3,TP10,115,4
H4,TP1,71,4
H4,TP2,80,3
H4,TP3,76,4
H4,TP4,109,2
H4,TP5,107,2
H4,TP6,94,3
H4,TP7,64,4
H4,TP8,43,4
H4,TP9,115,4
H4,TP10,39,2
H5,TP1,94,4
H5,TP2,46,3
H5,TP3,89,2
H5,TP4,117,4
H5,TP5,108,4
H5,TP6,25,2
H5,TP7,106,4
H5,TP8,69,4
H5,TP9,81,2
H5,TP10,19,1
H6,TP1,46,3
H6,TP2,32,3
H6,TP3,50,4
H6,TP4,43,4
H6,TP5,79,2
H6,TP6,65,3
H6,TP7,34,1
H6,TP8,95,3
H6,TP9,42,1
H6,TP10,116,2
H7,TP1,4,2
H7,TP2,75,2
H7,TP3,47,4
H7,TP4,89,1
H7,TP5,74,2
H7,TP6,63,4
H7,TP7,41,3
H7,TP8,77,1
H7,TP9,15,4
H7,TP10,54,3
H8,TP1,63,1
H8,TP2,67,2
H8,TP3,69,1
H8,TP4,39,3
H8,TP5,47,3
H8,TP6,95,3
H8,TP7,25,4
H8,TP8,117,3
H8,TP9,84,2
H8,TP10,82,3
H9,TP1,52,4
H9,TP2,117,2
H9,TP3,8,3
H9,TP4,82,1
H9,TP5,61,2
H9,TP6,7,3
H9,TP7,117,2
H9,TP8,124,1
H9,TP9,99,2
H9,TP10,82,2
