Hospital,Area_pop,Distancia
H1,AP1,365.93
H1,AP2,124.34
H1,AP3,145.07
H1,AP4,154.99
H1,AP5,272.04
H1,AP6,265.19
H1,AP7,137.03
H1,AP8,379.95
H1,AP9,144.78
H1,AP10,118.36
H1,AP11,110.17
H1,AP12,194.13
H1,AP13,318.07
H1,AP14,133.09
H1,AP15,382.61
H1,AP16,68.94
H1,AP17,328.01
H1,AP18,115.41
H1,AP19,140.51
H1,AP20,116.07
H1,AP21,339.2
H1,AP22,152.86
H1,AP23,172.7
H1,AP24,221.96
H1,AP25,294.08
H1,AP26,126.75
H1,AP27,297.84
H1,AP28,352.46
H1,AP29,126.06
H1,AP30,135.68
H2,AP1,517.56
H2,AP2,278.69
H2,AP3,269.12
H2,AP4,322.45
H2,AP5,262.25
H2,AP6,411.25
H2,AP7,279.16
H2,AP8,492.97
H2,AP9,311.27
H2,AP10,251.87
H2,AP11,74.73
H2,AP12,267.0
H2,AP13,301.48
H2,AP14,99.61
H2,AP15,546.13
H2,AP16,232.9
H2,AP17,459.67
H2,AP18,231.46
H2,AP19,288.49
H2,AP20,262.13
H2,AP21,404.42
H2,AP22,65.79
H2,AP23,78.49
H2,AP24,323.89
H2,AP25,460.67
H2,AP26,192.31
H2,AP27,463.75
H2,AP28,512.72
H2,AP29,271.21
H2,AP30,255.56
H3,AP1,545.82
H3,AP2,326.56
H3,AP3,294.16
H3,AP4,388.99
H3,AP5,196.65
H3,AP6,438.54
H3,AP7,316.14
H3,AP8,484.59
H3,AP9,387.0
H3,AP10,350.19
H3,AP11,135.44
H3,AP12,257.24
H3,AP13,224.36
H3,AP14,118.43
H3,AP15,592.69
H3,AP16,296.83
H3,AP17,469.62
H3,AP18,334.18
H3,AP19,329.14
H3,AP20,355.66
H3,AP21,367.64
H3,AP22,92.35
H3,AP23,72.92
H3,AP24,433.12
H3,AP25,518.21
H3,AP26,302.87
H3,AP27,518.81
H3,AP28,553.8
H3,AP29,365.42
H3,AP30,280.53
H4,AP1,256.76
H4,AP2,196.81
H4,AP3,138.71
H4,AP4,269.36
H4,AP5,172.07
H4,AP6,174.15
H4,AP7,166.33
H4,AP8,147.14
H4,AP9,299.04
H4,AP10,365.94
H4,AP11,287.68
H4,AP12,91.55
H4,AP13,189.17
H4,AP14,259.0
H4,AP15,340.05
H4,AP16,240.09
H4,AP17,155.87
H4,AP18,377.32
H4,AP19,176.47
H4,AP20,349.31
H4,AP21,68.6
H4,AP22,296.2
H4,AP23,294.85
H4,AP24,472.35
H4,AP25,314.19
H4,AP26,402.02
H4,AP27,307.0
H4,AP28,293.99
H4,AP29,356.48
H4,AP30,143.41
H5,AP1,173.17
H5,AP2,218.28
H5,AP3,181.84
H5,AP4,269.54
H5,AP5,270.84
H5,AP6,124.78
H5,AP7,193.94
H5,AP8,55.08
H5,AP9,304.54
H5,AP10,393.24
H5,AP11,364.32
H5,AP12,175.86
H5,AP13,285.27
H5,AP14,341.67
H5,AP15,267.15
H5,AP16,274.12
H5,AP17,68.59
H5,AP18,410.75
H5,AP19,196.89
H5,AP20,372.73
H5,AP21,122.41
H5,AP22,380.08
H5,AP23,382.0
H5,AP24,492.85
H5,AP25,266.92
H5,AP26,446.83
H5,AP27,257.12
H5,AP28,222.0
H5,AP29,377.82
H5,AP30,192.63
H6,AP1,257.89
H6,AP2,128.08
H6,AP3,192.42
H6,AP4,47.43
H6,AP5,397.28
H6,AP6,196.09
H6,AP7,157.65
H6,AP8,350.31
H6,AP9,34.99
H6,AP10,131.73
H6,AP11,288.88
H6,AP12,276.93
H6,AP13,439.48
H6,AP14,304.93
H6,AP15,233.77
H6,AP16,127.2
H6,AP17,274.85
H6,AP18,160.35
H6,AP19,143.96
H6,AP20,108.47
H6,AP21,383.96
H6,AP22,330.54
H6,AP23,348.89
H6,AP24,197.95
H6,AP25,135.82
H6,AP26,218.76
H6,AP27,144.18
H6,AP28,219.01
H6,AP29,105.76
H6,AP30,197.14
H7,AP1,505.59
H7,AP2,309.78
H7,AP3,263.77
H7,AP4,382.65
H7,AP5,118.61
H7,AP6,400.94
H7,AP7,292.26
H7,AP8,423.97
H7,AP9,388.41
H7,AP10,374.77
H7,AP11,162.98
H7,AP12,206.87
H7,AP13,141.99
H7,AP14,127.66
H7,AP15,564.06
H7,AP16,294.72
H7,AP17,419.85
H7,AP18,364.45
H7,AP19,306.88
H7,AP20,375.0
H7,AP21,295.89
H7,AP22,126.32
H7,AP23,105.1
H7,AP24,469.32
H7,AP25,499.71
H7,AP26,345.11
H7,AP27,498.38
H7,AP28,522.12
H7,AP29,385.0
H7,AP30,251.44
H8,AP1,400.0
H8,AP2,186.63
H8,AP3,233.81
H8,AP4,162.05
H8,AP5,383.86
H8,AP6,315.75
H8,AP7,212.23
H8,AP8,454.21
H8,AP9,130.39
H8,AP10,24.41
H8,AP11,202.04
H8,AP12,298.88
H8,AP13,429.9
H8,AP14,235.05
H8,AP15,388.06
H8,AP16,132.85
H8,AP17,389.85
H8,AP18,6.08
H8,AP19,208.0
H8,AP20,46.49
H8,AP21,438.75
H8,AP22,244.07
H8,AP23,266.02
H8,AP24,110.17
H8,AP25,290.52
H8,AP26,64.41
H8,AP27,298.32
H8,AP28,369.54
H8,AP29,50.61
H8,AP30,228.67
H9,AP1,404.47
H9,AP2,307.54
H9,AP3,243.02
H9,AP4,388.2
H9,AP5,88.23
H9,AP6,321.44
H9,AP7,277.78
H9,AP8,271.71
H9,AP9,411.0
H9,AP10,449.89
H9,AP11,297.48
H9,AP12,159.1
H9,AP13,64.54
H9,AP14,257.66
H9,AP15,488.61
H9,AP16,330.8
H9,AP17,301.47
H9,AP18,452.64
H9,AP19,291.82
H9,AP20,439.21
H9,AP21,121.63
H9,AP22,284.02
H9,AP23,271.81
H9,AP24,557.38
H9,AP25,457.19
H9,AP26,459.17
H9,AP27,451.05
H9,AP28,442.58
H9,AP29,448.11
H9,AP30,239.46
H10,AP1,329.02
H10,AP2,148.41
H10,AP3,90.76
H10,AP4,229.02
H10,AP5,123.04
H10,AP6,223.66
H10,AP7,123.76
H10,AP8,269.11
H10,AP9,245.84
H10,AP10,276.48
H10,AP11,156.7
H10,AP12,40.05
H10,AP13,165.75
H10,AP14,128.25
H10,AP15,387.47
H10,AP16,159.4
H10,AP17,248.94
H10,AP18,279.82
H10,AP19,139.06
H10,AP20,266.13
H10,AP21,183.17
H10,AP22,166.09
H10,AP23,167.11
H10,AP24,384.04
H10,AP25,328.69
H10,AP26,291.0
H10,AP27,326.04
H10,AP28,345.0
H10,AP29,275.18
H10,AP30,80.81
