Hospital,Recurso,Qtd_recurso
H1,R1,157.0
H2,R1,158.0
H3,R1,163.0
H4,R1,135.0
H5,R1,134.0
H6,R1,145.0
H7,R1,141.0
H8,R1,134.0
H9,R1,144.0
H10,R1,138.0
H1,R10,139.0
H2,R10,145.0
H3,R10,154.0
H4,R10,144.0
H5,R10,153.0
H6,R10,136.0
H7,R10,155.0
H8,R10,133.0
H9,R10,151.0
H10,R10,149.0
H1,R2,143.0
H2,R2,153.0
H3,R2,132.0
H4,R2,147.0
H5,R2,141.0
H6,R2,142.0
H7,R2,127.0
H8,R2,141.0
H9,R2,152.0
H10,R2,151.0
H1,R3,150.0
H2,R3,151.0
H3,R3,133.0
H4,R3,127.0
H5,R3,139.0
H6,R3,150.0
H7,R3,129.0
H8,R3,141.0
H9,R3,148.0
H10,R3,139.0
H1,R4,170.0
H2,R4,138.0
H3,R4,141.0
H4,R4,131.0
H5,R4,154.0
H6,R4,137.0
H7,R4,146.0
H8,R4,156.0
H9,R4,142.0
H10,R4,144.0
H1,R5,147.0
H2,R5,142.0
H3,R5,153.0
H4,R5,158.0
H5,R5,142.0
H6,R5,139.0
H7,R5,140.0
H8,R5,143.0
H9,R5,140.0
H10,R5,151.0
H1,R6,142.0
H2,R6,131.0
H3,R6,137.0
H4,R6,149.0
H5,R6,144.0
H6,R6,147.0
H7,R6,153.0
H8,R6,122.0
H9,R6,138.0
H10,R6,145.0
H1,R7,128.0
H2,R7,151.0
H3,R7,151.0
H4,R7,148.0
H5,R7,134.0
H6,R7,157.0
H7,R7,137.0
H8,R7,137.0
H9,R7,148.0
H10,R7,144.0
H1,R8,144.0
H2,R8,153.0
H3,R8,159.0
H4,R8,145.0
H5,R8,146.0
H6,R8,126.0
H7,R8,138.0
H8,R8,145.0
H9,R8,155.0
H10,R8,144.0
H1,R9,141.0
H2,R9,142.0
H3,R9,150.0
H4,R9,144.0
H5,R9,153.0
H6,R9,147.0
H7,R9,151.0
H8,R9,156.0
H9,R9,152.0
H10,R9,152.0
