Hospital,Area_pop,Distancia
H1,AP1,228.71
H1,AP2,315.48
H1,AP3,269.61
H1,AP4,256.72
H1,AP5,513.65
H1,AP6,201.56
H1,AP7,321.77
H1,AP8,316.41
H1,AP9,264.37
H1,AP10,307.16
H1,AP11,509.38
H1,AP12,256.43
H1,AP13,330.09
H1,AP14,272.25
H1,AP15,94.58
H1,AP16,230.84
H1,AP17,468.39
H1,AP18,392.62
H1,AP19,377.24
H1,AP20,383.44
H1,AP21,424.38
H1,AP22,460.62
H1,AP23,296.12
H1,AP24,356.88
H1,AP25,376.01
H1,AP26,198.73
H1,AP27,219.11
H1,AP28,372.98
H1,AP29,179.63
H1,AP30,204.63
H2,AP1,302.95
H2,AP2,251.72
H2,AP3,318.22
H2,AP4,401.29
H2,AP5,436.65
H2,AP6,87.92
H2,AP7,234.21
H2,AP8,362.1
H2,AP9,118.66
H2,AP10,273.02
H2,AP11,458.25
H2,AP12,245.49
H2,AP13,437.44
H2,AP14,162.15
H2,AP15,203.93
H2,AP16,51.42
H2,AP17,407.65
H2,AP18,336.05
H2,AP19,242.71
H2,AP20,401.05
H2,AP21,359.4
H2,AP22,378.63
H2,AP23,122.97
H2,AP24,143.69
H2,AP25,162.0
H2,AP26,106.78
H2,AP27,19.42
H2,AP28,445.76
H2,AP29,292.51
H2,AP30,21.47
H3,AP1,311.45
H3,AP2,212.58
H3,AP3,265.93
H3,AP4,408.81
H3,AP5,63.53
H3,AP6,380.44
H3,AP7,227.04
H3,AP8,237.61
H3,AP9,345.18
H3,AP10,206.58
H3,AP11,3.16
H3,AP12,255.57
H3,AP13,338.42
H3,AP14,299.08
H3,AP15,417.82
H3,AP16,411.0
H3,AP17,54.74
H3,AP18,126.59
H3,AP19,248.24
H3,AP20,169.69
H3,AP21,102.04
H3,AP22,97.95
H3,AP23,359.49
H3,AP24,499.67
H3,AP25,484.17
H3,AP26,366.01
H3,AP27,480.1
H3,AP28,269.11
H3,AP29,369.99
H3,AP30,442.65
H4,AP1,301.33
H4,AP2,192.35
H4,AP3,301.92
H4,AP4,419.49
H4,AP5,354.07
H4,AP6,92.2
H4,AP7,165.7
H4,AP8,338.0
H4,AP9,54.45
H4,AP10,224.72
H4,AP11,384.01
H4,AP12,215.68
H4,AP13,434.37
H4,AP14,101.79
H4,AP15,245.46
H4,AP16,57.71
H4,AP17,332.42
H4,AP18,268.03
H4,AP19,150.63
H4,AP20,359.74
