Hospital,Tipo_de_paciente,Qtd_pacientes_liberados,Dia
H1,TP1,32,3
H1,TP2,26,3
H1,TP3,63,1
H1,TP4,3,3
H1,TP5,65,2
H1,TP6,65,2
H1,TP7,69,2
H1,TP8,23,2
H1,TP9,59,2
H1,TP10,31,2
H10,TP1,40,1
H10,TP2,61,1
H10,TP3,29,3
H10,TP4,56,2
H10,TP5,70,2
H10,TP6,6,2
H10,TP7,30,1
H10,TP8,3,3
H10,TP9,5,2
H10,TP10,26,1
H11,TP1,45,2
H11,TP2,62,3
H11,TP3,20,3
H11,TP4,11,3
H11,TP5,61,1
H11,TP6,27,2
H11,TP7,30,1
H11,TP8,63,2
H11,TP9,35,3
H11,TP10,4,3
H12,TP1,60,1
H12,TP2,10,2
H12,TP3,14,1
H12,TP4,48,3
H12,TP5,34,2
H12,TP6,21,2
H12,TP7,39,1
H12,TP8,13,2
H12,TP9,14,1
H12,TP10,39,1
H13,TP1,48,1
H13,TP2,9,1
H13,TP3,28,1
H13,TP4,48,2
H13,TP5,9,1
H13,TP6,45,3
H13,TP7,15,2
H13,TP8,9,2
H13,TP9,27,3
H13,TP10,5,2
H14,TP1,36,3
H14,TP2,49,3
H14,TP3,54,1
H14,TP4,29,3
H14,TP5,20,3
H14,TP6,41,2
H14,TP7,36,2
H14,TP8,6,1
H14,TP9,69,2
H14,TP10,55,2
H15,TP1,56,3
H15,TP2,36,3
H15,TP3,72,3
H15,TP4,8,1
H15,TP5,51,3
H15,TP6,10,2
H15,TP7,67,1
H15,TP8,39,1
H15,TP9,28,1
H15,TP10,65,1
H2,TP1,70,2
H2,TP2,20,2
H2,TP3,33,3
H2,TP4,24,3
H2,TP5,33,3
H2,TP6,34,1
H2,TP7,31,3
H2,TP8,61,2
H2,TP9,36,3
H2,TP10,26,1
H3,TP1,65,2
H3,TP2,46,3
H3,TP3,49,1
H3,TP4,42,2
H3,TP5,52,3
H3,TP6,50,2
H3,TP7,49,3
H3,TP8,11,3
H3,TP9,19,1
H3,TP10,16,2
H4,TP1,10,2
H4,TP2,69,2
H4,TP3,17,1
H4,TP4,46,2
H4,TP5,53,3
H4,TP6,44,2
H4,TP7,74,3
H4,TP8,40,2
H4,TP9,28,2
H4,TP10,71,2
H5,TP1,45,2
H5,TP2,60,3
H5,TP3,32,2
H5,TP4,36,1
H5,TP5,7,3
H5,TP6,13,3
H5,TP7,41,1
H5,TP8,73,1
H5,TP9,72,2
H5,TP10,36,3
H6,TP1,5,1
H6,TP2,52,1
H6,TP3,46,3
H6,TP4,18,2
H6,TP5,8,3
H6,TP6,36,3
H6,TP7,0,1
H6,TP8,57,2
H6,TP9,60,2
H6,TP10,41,1
H7,TP1,54,3
H7,TP2,65,2
H7,TP3,19,3
H7,TP4,6,2
H7,TP5,6,2
H7,TP6,20,1
H7,TP7,2,1
H7,TP8,34,2
H7,TP9,17,2
H7,TP10,35,1
H8,TP1,68,2
H8,TP2,64,2
H8,TP3,53,2
H8,TP4,41,1
H8,TP5,36,1
H8,TP6,35,1
H8,TP7,12,3
H8,TP8,13,3
H8,TP9,60,3
H8,TP10,1,1
H9,TP1,34,3
H9,TP2,64,3
H9,TP3,48,1
H9,TP4,6,3
H9,TP5,54,1
H9,TP6,36,2
H9,TP7,18,2
H9,TP8,14,1
H9,TP9,22,2
H9,TP10,49,1
