Hospital,Tipo_de_paciente,Qtd_pacientes_liberados,Dia
H1,TP1,6,1
H1,TP2,15,3
H1,TP3,75,3
H1,TP4,54,1
H1,TP5,74,1
H1,TP6,3,3
H1,TP7,39,1
H1,TP8,23,3
H1,TP9,23,2
H1,TP10,24,2
H10,TP1,9,2
H10,TP2,46,3
H10,TP3,42,3
H10,TP4,0,2
H10,TP5,19,3
H10,TP6,23,2
H10,TP7,42,3
H10,TP8,57,3
H10,TP9,71,3
H10,TP10,13,2
H2,TP1,72,3
H2,TP2,51,1
H2,TP3,80,3
H2,TP4,22,1
H2,TP5,87,2
H2,TP6,57,2
H2,TP7,70,2
H2,TP8,75,2
H2,TP9,52,3
H2,TP10,32,3
H3,TP1,78,2
H3,TP2,78,2
H3,TP3,71,2
H3,TP4,89,2
H3,TP5,23,1
H3,TP6,33,2
H3,TP7,67,3
H3,TP8,75,1
H3,TP9,22,3
H3,TP10,22,3
H4,TP1,70,2
H4,TP2,24,2
H4,TP3,21,3
H4,TP4,26,3
H4,TP5,6,1
H4,TP6,72,3
H4,TP7,13,2
H4,TP8,53,1
H4,TP9,5,2
H4,TP10,45,1
H5,TP1,60,1
H5,TP2,61,1
H5,TP3,59,3
H5,TP4,79,2
H5,TP5,0,1
H5,TP6,67,3
H5,TP7,32,2
H5,TP8,92,3
H5,TP9,44,2
H5,TP10,49,2
H6,TP1,60,2
H6,TP2,13,1
H6,TP3,51,3
H6,TP4,86,2
H6,TP5,77,2
H6,TP6,38,3
H6,TP7,54,2
H6,TP8,45,1
H6,TP9,34,1
H6,TP10,6,1
H7,TP1,0,1
H7,TP2,32,3
H7,TP3,34,1
H7,TP4,94,2
H7,TP5,94,3
H7,TP6,21,3
H7,TP7,9,1
H7,TP8,13,1
H7,TP9,22,1
H7,TP10,24,3
H8,TP1,25,3
H8,TP2,24,2
H8,TP3,18,1
H8,TP4,89,1
H8,TP5,33,1
H8,TP6,22,1
H8,TP7,20,2
H8,TP8,81,2
H8,TP9,1,3
H8,TP10,58,2
H9,TP1,75,3
H9,TP2,3,2
H9,TP3,81,2
H9,TP4,12,3
H9,TP5,88,2
H9,TP6,79,1
H9,TP7,34,2
H9,TP8,7,1
H9,TP9,37,1
H9,TP10,85,3
