Hospital,Recurso,Qtd_recurso
H1,R1,179.0
H2,R1,169.0
H3,R1,180.0
H4,R1,168.0
H5,R1,181.0
H6,R1,173.0
H7,R1,180.0
H8,R1,177.0
H9,R1,181.0
H10,R1,182.0
H1,R10,169.0
H2,R10,176.0
H3,R10,172.0
H4,R10,170.0
H5,R10,173.0
H6,R10,184.0
H7,R10,171.0
H8,R10,181.0
H9,R10,174.0
H10,R10,168.0
H1,R11,180.0
H2,R11,172.0
H3,R11,177.0
H4,R11,171.0
H5,R11,176.0
H6,R11,178.0
H7,R11,168.0
H8,R11,169.0
H9,R11,179.0
H10,R11,180.0
H1,R12,169.0
H2,R12,171.0
H3,R12,172.0
H4,R12,162.0
H5,R12,173.0
H6,R12,182.0
H7,R12,175.0
H8,R12,182.0
H9,R12,188.0
H10,R12,178.0
H1,R2,175.0
H2,R2,176.0
H3,R2,178.0
H4,R2,179.0
H5,R2,176.0
H6,R2,175.0
H7,R2,172.0
H8,R2,177.0
H9,R2,178.0
H10,R2,177.0
H1,R3,172.0
H2,R3,175.0
H3,R3,175.0
H4,R3,175.0
H5,R3,177.0
H6,R3,182.0
H7,R3,163.0
H8,R3,176.0
H9,R3,170.0
H10,R3,172.0
H1,R4,178.0
H2,R4,172.0
H3,R4,173.0
H4,R4,167.0
H5,R4,171.0
H6,R4,181.0
H7,R4,170.0
H8,R4,176.0
H9,R4,174.0
H10,R4,173.0
H1,R5,179.0
H2,R5,170.0
H3,R5,179.0
H4,R5,170.0
H5,R5,174.0
H6,R5,177.0
H7,R5,169.0
H8,R5,177.0
H9,R5,177.0
H10,R5,178.0
H1,R6,173.0
H2,R6,170.0
H3,R6,174.0
H4,R6,171.0
H5,R6,175.0
H6,R6,177.0
H7,R6,178.0
H8,R6,175.0
H9,R6,175.0
H10,R6,179.0
H1,R7,172.0
H2,R7,183.0
H3,R7,171.0
H4,R7,177.0
H5,R7,163.0
H6,R7,177.0
H7,R7,169.0
H8,R7,180.0
H9,R7,170.0
H10,R7,173.0
H1,R8,167.0
H2,R8,170.0
H3,R8,173.0
H4,R8,179.0
H5,R8,176.0
H6,R8,175.0
H7,R8,167.0
H8,R8,173.0
H9,R8,175.0
H10,R8,162.0
H1,R9,174.0
H2,R9,170.0
H3,R9,174.0
H4,R9,175.0
H5,R9,178.0
H6,R9,174.0
H7,R9,177.0
H8,R9,173.0
H9,R9,168.0
H10,R9,176.0
