Hospital,Area_pop,Distancia
H1,AP1,79.85
H1,AP2,10.63
H1,AP3,52.89
H1,AP4,45.35
H1,AP5,28.46
H1,AP6,72.99
H1,AP7,52.61
H1,AP8,15.62
H1,AP9,32.02
H1,AP10,52.2
H1,AP11,59.36
H1,AP12,71.78
H1,AP13,38.48
H1,AP14,41.0
H1,AP15,63.13
H1,AP16,84.31
H1,AP17,86.61
H1,AP18,59.77
H1,AP19,53.34
H1,AP20,80.52
H1,AP21,47.51
H1,AP22,56.57
H1,AP23,92.97
H1,AP24,61.47
H1,AP25,44.55
H1,AP26,25.5
H1,AP27,38.0
H1,AP28,71.2
H1,AP29,95.75
H1,AP30,61.68
H2,AP1,40.8
H2,AP2,69.01
H2,AP3,25.5
H2,AP4,90.21
H2,AP5,39.36
H2,AP6,10.44
H2,AP7,19.72
H2,AP8,75.0
H2,AP9,47.01
H2,AP10,13.42
H2,AP11,25.94
H2,AP12,15.23
H2,AP13,52.84
H2,AP14,77.47
H2,AP15,23.09
H2,AP16,44.01
H2,AP17,42.76
H2,AP18,27.46
H2,AP19,24.08
H2,AP20,33.12
H2,AP21,34.06
H2,AP22,71.59
H2,AP23,46.87
H2,AP24,32.39
H2,AP25,37.2
H2,AP26,43.74
H2,AP27,68.45
H2,AP28,44.0
H2,AP29,39.82
H2,AP30,12.65
H3,AP1,74.09
H3,AP2,18.03
H3,AP3,46.14
H3,AP4,57.38
H3,AP5,24.08
H3,AP6,61.07
H3,AP7,44.38
H3,AP8,29.7
H3,AP9,32.2
H3,AP10,39.46
H3,AP11,45.28
H3,AP12,58.69
H3,AP13,26.48
H3,AP14,36.89
H3,AP15,49.19
H3,AP16,78.55
H3,AP17,72.42
H3,AP18,53.34
H3,AP19,39.36
H3,AP20,73.01
H3,AP21,33.3
H3,AP22,47.1
H3,AP23,86.31
H3,AP24,56.04
H3,AP25,30.41
H3,AP26,11.31
H3,AP27,31.02
H3,AP28,67.36
H3,AP29,82.08
H3,AP30,48.51
H4,AP1,17.69
H4,AP2,106.47
H4,AP3,45.61
H4,AP4,98.02
H4,AP5,68.48
H4,AP6,56.04
H4,AP7,48.8
H4,AP8,101.53
H4,AP9,65.79
H4,AP10,67.96
H4,AP11,82.73
H4,AP12,67.72
H4,AP13,104.74
H4,AP14,126.25
H4,AP15,79.71
H4,AP16,13.45
H4,AP17,94.54
H4,AP18,38.42
H4,AP19,80.26
H4,AP20,23.77
H4,AP21,89.05
H4,AP22,125.88
